# sentences=92558 tokens=745571 words=26623
word	count	sentences	left_contexts	right_contexts
䜣	1	1	1	1
一	235	228	106	92
一一	15	15	12	10
一万	2	2	2	2
一万年	1	1	1	1
一上	54	54	21	1
一上午	2	2	2	2
一上来	1	1	1	1
一下	342	340	122	135
一下了	9	9	7	3
一下他	18	18	16	10
一下吗	39	39	12	1
一下吧	21	21	14	4
一下哈	1	1	1	1
一下子	2	2	2	2
一下就	2	2	2	2
一世	5	5	3	3
一丝不	3	3	2	1
一丢丢	1	1	1	1
一个	480	476	207	242
一个一	1	1	1	1
一个一个	1	1	1	1
一个下午	1	1	1	1
一个不	5	5	5	3
一个世纪	4	4	2	3
一个中国	1	1	1	1
一个了	1	1	1	1
一个人	59	59	20	30
一个人的	6	6	4	3
一个你	1	1	1	1
一个原因	2	2	2	2
一个双	2	2	2	2
一个叫	20	17	18	17
一个名	4	4	4	2
一个名叫	2	2	2	1
一个吧	1	1	1	1
一个在	1	1	1	1
一个地方	17	17	9	7
一个多月	1	1	1	1
一个大	1	1	1	1
一个天	1	1	1	1
一个女人	2	2	2	2
一个女孩	1	1	1	1
一个好	2	2	2	2
一个好人	3	3	3	3
一个好的	1	1	1	1
一个字	1	1	1	1
一个小型	4	4	1	1
一个小时	3	3	3	2
一个岛	1	1	1	1
一个很好	5	5	5	2
一个我	2	2	2	2
一个房间	1	1	1	1
一个是	10	8	7	8
一个月	1	1	1	1
一个来	1	1	1	1
一个档次	1	1	1	1
一个民族	1	1	1	1
一个游戏	2	2	1	1
一个独立	3	3	3	1
一个电话	3	3	3	3
一个男人	2	2	2	2
一个男孩	2	2	1	1
一个系列	1	1	1	1
一个老师	1	1	1	1
一个身	1	1	1	1
一个这	2	2	1	1
一个都	1	1	1	1
一个问题	5	5	2	5
一个音	6	6	2	2
一中	1	1	1	1
一举	7	7	5	4
一九	2	2	2	1
一二	8	8	4	7
一些	290	289	61	140
一些了	8	8	5	1
一些事情	1	1	1	1
一些吧	2	2	2	1
一些很	1	1	1	1
一人	21	21	19	16
一代	12	12	7	12
一代人	12	12	8	7
一代代	6	6	1	1
一代宗师	8	8	7	6
一件	1	1	1	1
一件事	4	4	1	1
一份	2	2	2	2
一会	24	24	16	18
一会儿	5	5	5	5
一会就	1	1	1	1
一位	420	420	112	160
一位朋友	1	1	1	1
一体	10	10	2	6
一体的	1	1	1	1
一共	111	111	46	32
一共是	25	25	5	7
一共有	104	104	21	10
一具	1	1	1	1
一准	1	1	1	1
一出	9	9	9	5
一出场	1	1	1	1
一出来	2	2	2	2
一出生	1	1	1	1
一分	3	3	3	3
一分为二	1	1	1	1
一分钟	1	1	1	1
一切	15	15	7	13
一切的	1	1	1	1
一切都	3	3	3	3
