# sentences=861745 tokens=5965161 words=75749
word	count	sentences	left_contexts	right_contexts
䁖	8	8	8	5
䜣	1	1	1	1
一	4175	3985	1644	1187
一一	33	33	21	27
一一二	2	2	1	2
一丁点	3	3	3	3
一万	237	235	157	145
一万一	2	2	2	2
一万七	2	2	2	2
一万三	6	6	6	5
一万个	13	13	10	12
一万五	13	13	11	12
一万倍	6	6	4	2
一万元	22	22	13	20
一万六	3	3	3	2
一万块	15	15	13	13
一万多	28	28	22	23
一万年	25	25	13	13
一上	47	47	27	28
一上来	2	2	2	2
一上来就	1	1	1	1
一下	2228	2174	1076	1052
一下下	6	6	6	6
一下了	10	10	9	2
一下他	10	10	10	8
一下你	153	152	26	20
一下午	4	4	3	3
一下去	2	2	2	2
一下后	4	4	4	4
一下吗	49	49	43	8
一下吧	34	34	33	8
一下子	21	17	18	16
一下子就	19	19	18	19
一下就	227	227	175	122
一下我们	3	3	3	3
一下手	6	6	5	6
一下这些	1	1	1	1
一不小心	17	17	16	14
一世	55	53	34	30
一丝	6	6	6	6
一丝不	2	2	2	1
一丝丝	2	2	2	2
一两	55	55	43	36
一两万	7	7	6	7
一两个	32	32	23	19
一两个月	7	7	7	5
一两千	2	2	2	2
一两千万	2	2	2	2
一两句	4	4	4	4
一两周	1	1	1	1
一两天	16	16	10	9
一两年	13	13	13	11
一两次	12	12	11	11
一两百	9	9	9	6
一个	3175	2999	1468	1820
一个一	22	21	18	19
一个一个	26	26	20	22
一个下午	10	10	9	10
一个不	67	67	48	53
一个世界	9	9	7	8
一个世纪	2	2	2	2
一个东西	5	5	5	3
一个两个	1	1	1	1
一个个	13	13	13	12
一个中国	55	54	33	35
一个也	9	9	9	9
一个了	6	6	6	5
一个事	5	5	5	2
一个二	3	3	3	3
一个人	1737	1714	655	747
一个人了	4	4	4	2
一个人做	21	21	12	15
一个人在	102	102	47	73
一个人的	144	141	68	95
一个人过	42	42	28	25
一个亿	1	1	1	1
一个什么	4	4	4	4
一个位	1	1	1	1
一个位置	2	2	2	2
一个你	9	9	6	6
一个做	4	4	3	4
一个儿	8	8	7	1
一个医生	3	3	2	3
一个半月	4	4	3	3
一个单位	1	1	1	1
一个双	3	3	3	3
一个叫	34	27	24	28
一个合格	3	3	2	1
一个同学	3	3	3	3
一个名	4	4	4	3
一个吧	8	8	6	3
一个周期	2	2	2	2
一个因素	1	1	1	1
一个团队	2	2	2	2
一个国家	56	55	37	41
一个在	25	22	19	23
一个地方	14	14	12	11
一个场景	1	1	1	1
一个坑	2	2	2	2
一个城市	3	3	3	3
一个多月	4	4	4	4
一个大	55	55	46	44
一个天	16	16	9	8
一个女人	13	13	9	12
一个女儿	3	3	3	3
一个女孩	15	15	11	10
一个女性	1	1	1	1
一个女生	18	18	14	15
一个女的	17	17	13	16
一个好	13	13	13	12
一个好的	6	6	4	5
一个字	36	36	22	28
一个字母	1	1	1	1
一个学期	5	5	4	4
一个学校	2	2	2	2
一个孩子	8	8	6	6
一个小孩	14	14	10	12
一个小时	71	71	55	54
一个小的	2	2	2	2
一个岛	7	7	5	6
一个巨大	1	1	1	1
一个当	6	6	6	6
一个很好	2	2	2	2
一个意思	1	1	1	1
一个我	4	4	4	4
一个房间	3	3	3	3
一个手	4	4	4	3
一个故事	4	4	4	3
一个数字	1	1	1	1
一个整	4	4	3	3
一个文件	1	1	1	1
一个新的	3	3	3	3
一个方向	2	2	2	2
一个早	5	5	5	4
一个星期	19	19	12	17
一个是	123	80	76	112
一个晚上	32	32	23	28
一个普通	4	4	3	4
一个暑假	2	2	2	2
一个月	706	702	359	324
一个月了	6	6	6	5
一个月内	5	5	5	5
一个月前	7	7	4	6
一个月后	32	32	28	32
一个月的	16	16	14	14
一个朋友	11	11	9	10
一个机会	7	7	6	3
一个来	4	4	4	4
一个样	47	44	29	18
一个案例	1	1	1	1
一个概念	6	6	4	1
一个民族	2	2	2	2
一个没有	11	11	8	10
一个法	2	2	2	2
一个洞	21	21	17	12
一个游戏	8	8	6	7
一个点	5	4	5	5
一个独立	1	1	1	1
一个班	9	9	7	7
一个球	4	4	4	3
一个用	8	6	6	8
一个电话	1	1	1	1
一个男人	11	11	5	11
一个男孩	1	1	1	1
一个真实	1	1	1	1
一个眼神	2	2	2	2
一个礼拜	165	165	113	104
一个笑话	5	5	4	4
一个等级	7	7	7	7
一个网	8	8	8	4
一个群	1	1	1	1
一个老师	4	4	3	4
一个能	11	11	11	7
一个苹果	1	1	1	1
一个菜	2	1	2	1
