# kdconv-bigram sentences=92558 tokens=745571 pairs=232987
left	right	count
<s>	一	2
<s>	一一	2
<s>	一上	4
<s>	一个	21
<s>	一个一	1
<s>	一个不	1
<s>	一个人的	2
<s>	一个好人	1
<s>	一个是	1
<s>	一个来	1
<s>	一中	1
<s>	一举	1
<s>	一代	1
<s>	一代宗师	2
<s>	一会	2
<s>	一位	4
<s>	一共	21
<s>	一共是	21
<s>	一共有	40
<s>	一去	1
<s>	一听就	4
<s>	一块	2
<s>	一夜	1
<s>	一天的	1
<s>	一定	6
<s>	一定一定	2
<s>	一定不会	1
<s>	一定会	1
<s>	一定很	1
<s>	一定有	2
<s>	一定的	4
<s>	一定要	1
<s>	一家	1
<s>	一座	1
<s>	一次	1
<s>	一点	5
<s>	一点不	1
<s>	一点点	2
<s>	一点都不	8
<s>	一直	2
<s>	一直也	1
<s>	一直到	1
<s>	一直想	1
<s>	一看	4
<s>	一看到	1
<s>	一看就知	1
<s>	一级	1
<s>	一经	1
<s>	一般	21
<s>	一般人	1
<s>	一般在	4
<s>	一般建议	1
<s>	一般是	9
<s>	一般的	1
<s>	一般能	2
<s>	一般般吧	2
<s>	一般都是	27
<s>	一言	1
<s>	一说	4
<s>	一说到	3
<s>	一起	5
<s>	一起去	2
<s>	一部	8
<s>	一集	2
<s>	一首	2
<s>	一鸣惊人	1
<s>	七	11
<s>	七宗罪	1
<s>	万	12
<s>	万人次	1
<s>	万佛	1
<s>	万张	2
<s>	万欧元	1
<s>	万美元	14
<s>	万美元的	2
<s>	三	14
<s>	三个	1
<s>	三人	3
<s>	三位	1
<s>	三十	4
<s>	三国	1
<s>	三大	1
<s>	三届	3
<s>	三度	7
<s>	三种	1
<s>	三里屯	35
<s>	三鼎	1
<s>	上	11
<s>	上上	6
<s>	上午	3
<s>	上周	1
<s>	上层	1
<s>	上山	3
<s>	上市了	3
<s>	上方	6
<s>	上映	26
<s>	上映时	42
<s>	上次	1
<s>	上海	3
<s>	上海人	1
<s>	上的	1
<s>	上过	1
<s>	下	2
<s>	下一	2
<s>	下回	1
<s>	不	58
<s>	不不	1
<s>	不也是	1
<s>	不了解	23
<s>	不仅	6
<s>	不仅在	1
<s>	不仅如此	3
<s>	不仅是	2
<s>	不介意	1
<s>	不会	4
<s>	不会了	1
<s>	不会吧	12
<s>	不会和	1
<s>	不会是	1
<s>	不会的	4
<s>	不便宜	1
<s>	不信你	1
<s>	不光	45
<s>	不光是	1
<s>	不免	2
<s>	不全	3
<s>	不全是	1
<s>	不具	1
<s>	不准确	1
<s>	不到	3
<s>	不卖	1
<s>	不去	1
<s>	不只	2
<s>	不只是	3
<s>	不可以	1
<s>	不可思议	1
<s>	不同	1
<s>	不呀	1
<s>	不售	1
<s>	不喜欢	1
<s>	不在了	4
<s>	不多	10
<s>	不大	2
<s>	不太	14
<s>	不太了解	21
<s>	不太多	1
<s>	不太大	1
<s>	不太清楚	25
<s>	不太熟悉	7
<s>	不好意思	52
<s>	不好说	1
<s>	不如我们	1
<s>	不客气	312
<s>	不对	7
<s>	不小	8
<s>	不少	8
<s>	不少钱	1
<s>	不就	1
<s>	不就是	4
<s>	不希望	1
