# ptt-bigram/v1 source=Gossiping-QA-Dataset.txt sha256=cf5ef0a931a8a14444a9854aa13cf6e7516b3ec4922b7cde5d45d13ed825ae79
# pairs_total=2660452 min_count=2 pairs=604171
left	right	count
<s>	一	456
<s>	一一二	2
<s>	一万	25
<s>	一万个	4
<s>	一万五	3
<s>	一万元	9
<s>	一万块	3
<s>	一万多	4
<s>	一万年	3
<s>	一上	17
<s>	一下	42
<s>	一下子	3
<s>	一下就	8
<s>	一不小心	2
<s>	一世	8
<s>	一两	6
<s>	一两个	2
<s>	一两天	2
<s>	一个	499
<s>	一个一	5
<s>	一个一个	4
<s>	一个不	11
<s>	一个世界	2
<s>	一个中国	16
<s>	一个人	564
<s>	一个人做	10
<s>	一个人在	43
<s>	一个人的	50
<s>	一个人过	6
<s>	一个做	2
<s>	一个叫	8
<s>	一个合格	2
<s>	一个国家	18
<s>	一个在	4
<s>	一个地方	2
<s>	一个大	9
<s>	一个女人	4
<s>	一个女孩	2
<s>	一个女生	2
<s>	一个女的	5
<s>	一个好的	2
<s>	一个字	9
<s>	一个孩子	2
<s>	一个小时	6
<s>	一个岛	2
<s>	一个整	2
<s>	一个星期	7
<s>	一个是	46
<s>	一个晚上	10
<s>	一个普通	2
<s>	一个月	109
<s>	一个月前	4
<s>	一个月后	5
<s>	一个月的	3
<s>	一个没有	3
<s>	一个游戏	3
<s>	一个班	2
<s>	一个用	3
<s>	一个男人	7
<s>	一个礼拜	41
<s>	一个连	3
<s>	一个都	2
<s>	一中	17
<s>	一串	7
<s>	一事无成	3
<s>	一二	8
<s>	一二三	6
<s>	一些	30
<s>	一些人	4
<s>	一些学	2
<s>	一人	140
<s>	一代	29
<s>	一代宗师	4
<s>	一件	14
<s>	一份	16
<s>	一份工作	3
<s>	一休	35
<s>	一位	8
<s>	一体	2
<s>	一例	321
<s>	一倍	3
<s>	一元	5
<s>	一公斤	6
<s>	一出	7
<s>	一出生	3
<s>	一刀	4
<s>	一分	11
<s>	一分钟	39
<s>	一分钱	9
<s>	一切	6
<s>	一切的	2
<s>	一切都	5
<s>	一切都是	9
<s>	一切顺利	2
<s>	一到	7
<s>	一副	12
<s>	一加	2
<s>	一包	17
<s>	一千	11
<s>	一千万	15
<s>	一千个	3
<s>	一千多	2
<s>	一千年	4
<s>	一半	13
<s>	一厢情愿	2
<s>	一去	2
<s>	一双	7
<s>	一发	9
<s>	一口	11
<s>	一口吃	2
<s>	一口气	14
<s>	一句	13
<s>	一句话	54
<s>	一只	49
<s>	一只手	6
<s>	一只猫	2
<s>	一只鸡	7
<s>	一台	33
<s>	一台电脑	2
<s>	一台车	6
<s>	一号	2
<s>	一名	2
<s>	一听	2
<s>	一听到	4
<s>	一听就	4
<s>	一周	24
<s>	一周后	3
<s>	一命	3
<s>	一团	3
<s>	一国	2
<s>	一场	27
<s>	一坐	4
<s>	一块	7
<s>	一坨	2
<s>	一坨屎	2
<s>	一堆	1032
<s>	一堆人	391
<s>	一声	2
<s>	一壶	2
<s>	一夜	16
<s>	一夜之间	2
<s>	一大	7
<s>	一大堆	10
<s>	一大早	69
<s>	一天	262
<s>	一天一	19
<s>	一天中	4
<s>	一天内	2
<s>	一天到晚	24
<s>	一天的	2
<s>	一天都	2
<s>	一头	3
<s>	一套	2
<s>	一女	2
<s>	一如	2
<s>	一字	8
<s>	一季	3
<s>	一学期	3
<s>	一定	116
<s>	一定不会	4
<s>	一定不是	9
<s>	一定会	34
<s>	一定会有	11
<s>	一定可以	3
<s>	一定在	2
<s>	一定很	12
<s>	一定是	139
<s>	一定是有	4
<s>	一定有	34
<s>	一定的	3
<s>	一定要	111
<s>	一定要在	2
<s>	一定要有	9
<s>	一定要用	5
<s>	一定要看	3
<s>	一家	12
<s>	一家人	5
<s>	一寸	2
<s>	一对	6
<s>	一小时	21
<s>	一层	3
<s>	一岁	4
<s>	一巴掌	2
<s>	一带一路	17
<s>	一幕	2
<s>	一年	96
<s>	一年一度	5
<s>	一年内	3
<s>	一年前	8
<s>	一年后	7
<s>	一年四季	2
<s>	一年多	2
<s>	一年的	6
<s>	一年级	4
<s>	一度	14
<s>	一座	2
<s>	一开	13
<s>	一开口	9
<s>	一开始	131
<s>	一开始就	25
<s>	一开始是	8
<s>	一开始的	5
<s>	一开始还	6
<s>	一张	24
<s>	一张图	3
<s>	一张床	2
<s>	一心	3
<s>	一心想	2
<s>	一想到	9
<s>	一成	5
<s>	一战	20
<s>	一手	17
<s>	一打开	2
<s>	一技之长	2
<s>	一把	26
<s>	一把年纪	4
<s>	一护	3
<s>	一拳	24
<s>	一掌	2
<s>	一提到	4
<s>	一支	9
<s>	一整	15
<s>	一整个	7
<s>	一整天	9
<s>	一斤	6
<s>	一方	2
<s>	一方通行	3
<s>	一方面	3
<s>	一无所有	2
<s>	一日	66
<s>	一日游	4
<s>	一旦	6
<s>	一早	68
<s>	一时	6
<s>	一时冲动	3
<s>	一时的	2
<s>	一星期	3
<s>	一是	4
<s>	一晚	4
<s>	一月	5
<s>	一有	3
<s>	一本	4
<s>	一本正经	2
<s>	一朵	4
<s>	一杆	2
<s>	一条	19
<s>	一条狗	5
<s>	一条路	2
<s>	一条龙	9
<s>	一来就	2
<s>	一杯	15
<s>	一枚	2
<s>	一枪	4
<s>	一架	3
<s>	一样	103
<s>	一样会	3
<s>	一样是	28
<s>	一样的	38
<s>	一样看	2
<s>	一样都	8
<s>	一样都是	5
<s>	一根	13
<s>	一格	2
<s>	一桌	3
<s>	一桶	2
<s>	一棒	3
<s>	一楼	7
<s>	一次	136
<s>	一次一次	2
<s>	一次买	4
<s>	一次发	2
<s>	一次就	5
<s>	一款	5
<s>	一款游戏	3
<s>	一步	13
<s>	一段	7
<s>	一段时间	4
<s>	一比	3
<s>	一毕业	3
<s>	一波	6
<s>	一流	2
<s>	一流的	4
<s>	一点	30
<s>	一点也不	2
<s>	一点了	2
<s>	一点点	3
<s>	一点的	2
<s>	一点都不	9
<s>	一片	10
<s>	一班	2
<s>	一瓶	3
<s>	一生	28
<s>	一生中	7
<s>	一生的	2
<s>	一男一女	3
<s>	一番	2
<s>	一百	21
<s>	一百万	14
<s>	一百个	5
<s>	一百块	4
<s>	一百多	4
<s>	一百年	7
<s>	一百年前	2
<s>	一盏	7
<s>	一盒	5
<s>	一盘	5
<s>	一直	419
<s>	一直不	9
<s>	一直以为	3
<s>	一直以来	3
<s>	一直到	3
<s>	一直去	3
<s>	一直叫	9
<s>	一直听	9
<s>	一直在	34
<s>	一直开	8
<s>	一直强调	6
<s>	一直很	14
<s>	一直想	26
<s>	一直把	7
<s>	一直有	18
<s>	一直没	4
<s>	一直用	8
<s>	一直被	60
<s>	一直要	6
<s>	一直觉得	15
<s>	一直说	29
<s>	一直走	3
<s>	一直都	15
<s>	一直都很	8
<s>	一直都是	7
<s>	一直都有	5
<s>	一看	2
<s>	一看到	3
<s>	一看就	2
<s>	一看就是	2
<s>	一看就知	21
<s>	一眼	2
<s>	一睡	3
<s>	一碗	20
<s>	一票	2
<s>	一种	91
<s>	一种是	8
<s>	一秒	8
<s>	一秒钟	2
<s>	一窝	2
<s>	一笑	2
<s>	一笔	3
<s>	一等	3
<s>	一篇	20
<s>	一篇文	2
<s>	一篇文章	3
<s>	一类	6
<s>	一粒	10
<s>	一级	2
<s>	一级棒	2
<s>	一线	5
<s>	一组	2
<s>	一罐	3
<s>	一群	117
<s>	一群人	22
<s>	一股	2
<s>	一胎	2
<s>	一脚	5
<s>	一脸	24
<s>	一般	122
<s>	一般不	2
<s>	一般人	127
<s>	一般是	3
<s>	一般来说	14
<s>	一般生	2
<s>	一般的	15
<s>	一般而言	2
<s>	一般都	5
<s>	一般都是	5
<s>	一艘	3
<s>	一节	2
<s>	一行	5
<s>	一见	2
<s>	一见钟情	4
<s>	一觉醒来	26
<s>	一言	7
<s>	一试	3
<s>	一说	12
<s>	一说到	2
<s>	一贯	4
<s>	一起	71
<s>	一起上	2
<s>	一起加油	2
<s>	一起去	12
<s>	一起吃	9
<s>	一起打	4
<s>	一起来	8
<s>	一路	17
<s>	一路上	4
<s>	一身	3
<s>	一躺	2
<s>	一转眼	2
<s>	一轮	3
<s>	一辆	5
<s>	一辈子	61
<s>	一边	57
<s>	一边是	2
<s>	一边看	5
<s>	一边说	2
<s>	一过	5
<s>	一进	13
<s>	一进去	6
<s>	一遍	3
<s>	一部	74
<s>	一锅	2
<s>	一键	3
<s>	一门	2
<s>	一闪	2
<s>	一间	22
<s>	一阵	3
<s>	一阵子	2
