# XHUP Flow 规范读音频率数据:万象 / RIME-LMDG 单字源分数的规范子集
# source_repo: amzxyz/rime-wanxiang
# source_commit: 7ec998b28c9a5c57260d2ba24b264c1c1820e0ef
# source_path: dicts/zi.dict.yaml
# source_blob_sha: 9a69cb891f2e0c158313d14e0ea6c3925ca081ef
# source_license: CC-BY-4.0
# semantic_source: amzxyz/RIME-LMDG
# normalization: 去除声调(āáǎà→a 等五组);ü 族(üǖǘǚǜ)→v;ńňǹ→n;ḿ→m;
#   归一化后仍含非 a-z 字符的源读音视为坏行忽略(如分解形式的 m+U+0300)
# aggregation: 归一化后落到同一 (汉字, 规范读音) 的全部源行分数按 u64 校验和聚合
# match_policy: 仅保留汉字属于规范 8105 清单且归一化读音等于该字某个规范读音的源行;
#   不发明新读音,规范汉字/读音数据仍是成员资格的唯一事实来源
# rows: 8544
㑇	zhou	230
㑊	yi	1
㕮	fu	1
㘎	han	329
㙍	duo	169
㙘	yao	224
㙦	xie	254
㛃	jie	187
㛚	tong	199
㛹	pian	141
㟃	si	222
㠇	jiu	304
㠓	meng	119
㤘	zhou	297
㥄	ling	229
㧐	song	367
㧑	hui	242
㧟	kuai	252
㫰	lang	300
㬊	huan	227
㬎	xian	278
㬚	che	320
㭎	gang	235
㭕	qu	111
㮾	lang	224
㰀	li	1
㳇	fu	1
㳘	chong	210
㳚	xu	237
㴔	ji	1
㴔	xi	1
㵐	jue	184
㶲	yong	246
㸆	kao	173
㸌	huo	160
㺄	yu	2
㻬	tu	383
㽏	gan	265
㿠	huang	201
䁖	lou	242
䂮	lve	101
䃅	di	151
䃎	zha	241
䅟	can	284
䌹	jiong	214
䎃	ran	268
䎖	zeng	122
䏝	zhuan	764
䏡	shi	179
䏲	die	237
䏲	ti	156
䐃	jun	225
䓖	qiong	274
䓛	qu	136
䓨	ying	285
䓫	qi	1
䓬	zhuo	159
䗖	di	109
䗛	xiu	203
䗪	zhe	259
䗴	ting	251
䜣	xin	201
䝙	chu	277
䢺	chu	272
䢼	gong	244
䣘	tang	186
䥽	po	257
䦃	zhuo	224
䲟	yin	179
䲠	chun	134
䲢	teng	223
䴓	shi	214
䴔	jiao	214
䴕	lie	192
䴖	jing	272
䴗	ju	61
䴘	ti	176
䴙	pi	107
䶮	yan	61
一	yi	613847
丁	ding	2573
七	qi	34014
万	mo	141
万	wan	286789
丈	zhang	627
三	san	135522
上	shang	1272711
下	xia	429404
不	bu	510341
与	yu	1381939
丏	mian	315
丐	gai	1162
丑	chou	2906
专	zhuan	47011
且	qie	232090
丕	pi	434
世	shi	1115
丘	qiu	2428
丙	bing	1350
业	ye	25988
丛	cong	3222
东	dong	11776
丝	si	3262
丞	cheng	437
丢	diu	16014
两	liang	64128
严	yan	1806
丧	sang	4792
个	ge	677928
丫	ya	672
中	zhong	1566787
丰	feng	3240
串	chuan	2828
临	lin	4252
丸	wan	734
丹	dan	6048
为	wei	1908213
主	zhu	3353
丽	li	1859
举	ju	2458
乂	yi	178
乃	nai	2452
久	jiu	92892
么	me	153599
义	yi	996
之	zhi	11267
乌	wu	870
乍	zha	482
乎	hu	2770
乏	fa	2608
乐	le	690149
乐	yue	6767
乒	ping	505
乓	pang	2196
乔	qiao	3084
乖	guai	4900
乘	cheng	2430
乙	yi	3782
乜	mie	1832
乜	nie	33
九	jiu	156572
乞	qi	558
也	ye	2178755
习	xi	3614
乡	xiang	3148
书	shu	139520
乩	ji	171
买	mai	216980
乱	luan	22366
乳	ru	2835
乸	na	311
乾	qian	668
了	le	5521194
了	liao	26264
予	yu	781
争	zheng	3390
事	shi	9956
二	er	39350
亍	chu	335
于	yu	515737
亏	kui	14893
云	yun	28791
互	hu	3078
亓	qi	174
五	wu	26375
井	jing	749
亘	gen	1907
亚	ya	11073
些	xie	67840
亟	ji	313
亟	qi	72
亡	wang	3453
亢	kang	2056
交	jiao	41683
亥	hai	1977
亦	yi	1559
产	chan	6255
亨	heng	2065
亩	mu	655
享	xiang	5043
京	jing	6257
亭	ting	616
亮	liang	2996
亲	qin	20118
亲	qing	159
亳	bo	327
亵	xie	468
亶	dan	387
亸	duo	203
亹	wei	199
人	ren	1423478
亿	yi	941
什	shen	852
什	shi	551
仁	ren	11851
仂	le	1567
仃	ding	392
仄	ze	1104
仅	jin	7860
仆	pu	686
仇	chou	2664
仇	qiu	133
仉	zhang	403
今	jin	7461
介	jie	812
仍	reng	29010
从	cong	1294801
仑	lun	2312
仓	cang	3010
仔	zai	1477
仔	zi	1055
仕	shi	463
他	ta	1433774
仗	zhang	664
付	fu	731
仙	xian	1252
仝	tong	283
仞	ren	400
仟	qian	3200
仡	ge	335
代	dai	93640
令	ling	5965
以	yi	623664
仨	sa	1987
仪	yi	794
仫	mu	292
们	men	57828
仰	yang	1508
仲	zhong	773
仳	pi	269
仵	wu	323
件	jian	10105
价	jia	6087
价	jie	495
任	ren	178085
份	fen	202331
仿	fang	1506
企	qi	913
伈	xin	223
伉	kang	385
伊	yi	869
伋	ji	1
伍	wu	3600
伎	ji	297
伏	fu	674
伐	fa	1428
休	xiu	3269
众	zhong	17195
优	you	1863
伙	huo	1571
会	hui	1032027
会	kuai	3390
伛	yu	1
伞	san	3387
伟	wei	775
传	chuan	35950
传	zhuan	19165
伢	ya	385
伣	qian	275
伤	shang	10662
伥	chang	324
伦	lun	2903
伧	cang	724
伪	wei	764
伫	zhu	371
伭	xian	295
伯	bai	125
伯	bo	2732
估	gu	3278
伲	ni	651
伴	ban	7102
伶	ling	539
伸	shen	6506
伺	ci	559
伺	si	543
似	shi	517
似	si	2310
伽	ga	1813
伽	jia	474
伽	qie	104
伾	pi	179
佁	yi	1
佃	dian	492
但	dan	1622896
位	wei	91218
低	di	3259
住	zhu	42419
佐	zuo	690
佑	you	612
体	ti	53716
何	he	19643
佖	bi	104
佗	tuo	1064
佘	she	457
余	yu	935
佚	yi	275
佛	fo	4729
佛	fu	718
作	zuo	57135
佝	gou	407
佞	ning	323
佟	tong	491
你	ni	1547364
佣	yong	3463
佤	wa	405
佥	qian	452
佩	pei	2491
佬	lao	1322
佯	yang	429
佰	bai	2759
佳	jia	3525
佴	er	365
佴	nai	192
佶	ji	101
佸	huo	228
佺	quan	336
佻	tiao	392
佼	jiao	462
佽	ci	318
佾	yi	80
使	shi	3016
侁	shen	235
侂	tuo	247
侃	kan	622
侄	zhi	532
侈	chi	595
侉	kua	727
例	li	2254
侍	shi	602
侏	zhu	429
侑	you	397
侔	mou	328
侗	dong	496
侘	cha	170
供	gong	7318
依	yi	953
侠	xia	2474
侣	lv	474
侥	jiao	505
侥	yao	166
侦	zhen	592
侧	ce	3342
侨	qiao	1320
侩	kuai	378
侪	chai	862
侬	nong	1771
侮	wu	677
侯	hou	24469
侴	chou	223
侵	qin	3002
侹	ting	305
便	bian	34043
便	pian	14594
促	cu	4424
俄	e	3096
俅	qiu	353
俊	jun	1442
俍	liang	313
俎	zu	417
俏	qiao	522
俐	li	507
俑	yong	534
俗	su	971
俘	fu	548
俙	xi	1
俚	li	327
俜	ping	319
保	bao	10336
俞	yu	313
俟	qi	78
俟	si	282
信	xin	15585
俣	yu	87
俦	chou	364
俨	yan	411
俩	lia	15983
俩	liang	162
俪	li	372
俫	lai	317
俭	jian	581
修	xiu	18334
俯	fu	577
俱	ju	1194
俳	pai	413
俵	biao	347
俶	chu	366
俸	feng	459
俺	an	67638
俾	bi	452
倌	guan	442
倍	bei	3840
倏	shu	340
倒	dao	6052
倓	tan	362
倔	jue	1034
倕	chui	263
倘	tang	490
候	hou	14577
倚	yi	570
倜	ti	395
倞	jing	336
借	jie	614
倡	chang	769
倥	kong	355
倦	juan	2216
倧	zong	276
倨	ju	254
倩	qian	512
倪	ni	540
倬	zhuo	372
倭	wo	428
倮	luo	282
倴	ben	149
债	zhai	3799
倻	ye	351
值	zhi	12351
倾	qing	1204
偁	cheng	80
偃	yan	357
假	jia	6572
偈	ji	142
偌	ruo	1873
偎	wei	528
偏	pian	15400
偓	wo	297
偕	xie	462
做	zuo	693896
停	ting	21726
偡	zhan	246
健	jian	1753
偬	zong	340
偭	mian	229
偰	xie	283
偲	cai	377
偶	ou	3100
偷	tou	6629
偻	lou	377
偻	lv	101
偾	fen	311
偿	chang	538
傀	gui	120
傀	kui	478
傃	su	256
傅	fu	665
傈	li	266
傉	nu	279
傍	bang	506
傒	xi	11
傕	jue	254
傣	dai	447
傥	tang	392
傧	bin	281
储	chu	982
傩	nuo	422
催	cui	6289
傲	ao	6340
傺	chi	223
傻	sha	4871
僇	lu	94
僎	zhuan	347
像	xiang	26756
僔	zun	242
僖	xi	301
僚	liao	491
僦	jiu	329
僧	seng	1648
僬	jiao	258
僭	jian	365
僮	tong	122
僰	bo	302
僳	su	372
僵	jiang	699
僻	pi	518
儆	jing	402
儇	xuan	296
儋	dan	459
儒	ru	2065
儡	lei	418
儦	biao	235
儳	chan	215
儴	rang	87
儿	er	40154
兀	wu	456
允	yun	2559
元	yuan	276319
兄	xiong	2697
充	chong	20793
兆	zhao	566
先	xian	236558
光	guang	55653
克	ke	4668
免	mian	11440
兑	dui	61404
兔	tu	2322
兕	si	313
兖	yan	385
党	dang	42907
兜	dou	4709
兢	jing	563
入	ru	62868
全	quan	92212
八	ba	522796
公	gong	6668
六	liu	27707
兮	xi	447
兰	lan	3172
共	gong	29649
关	guan	24454
兴	xing	3034
兵	bing	3499
其	qi	446665
具	ju	6170
典	dian	2916
兹	ci	504
兹	zi	576
养	yang	14894
兼	jian	843
兽	shou	826
冀	ji	564
冁	chan	117
内	nei	144635
冈	gang	1408
冉	ran	2056
册	ce	3275
再	zai	4443586
冏	jiong	773
冒	mao	2460
冔	xu	408
冕	mian	541
冗	rong	523
写	xie	154136
军	jun	5300
农	nong	3316
冠	guan	4582
冢	zhong	513
冤	yuan	691
冥	ming	1339
冬	dong	2684
冮	gang	331
冯	feng	610
冰	bing	4070
冱	hu	130
冲	chong	7871
决	jue	3510
况	kuang	3056
冶	ye	582
冷	leng	12010
冻	dong	2150
冼	xian	400
冽	lie	460
净	jing	1560
凄	qi	515
准	zhun	12996
凇	song	411
凉	liang	2948
凋	diao	494
凌	ling	984
减	jian	1581
凑	cou	8249
凓	li	1
凘	si	231
凛	lin	514
凝	ning	2794
几	ji	4563
凡	fan	2949
凤	feng	2164
凫	fu	231
凭	ping	2420
凯	kai	4204
凰	huang	1352
凳	deng	6408
凶	xiong	2378
凸	tu	781
凹	ao	5956
出	chu	139717
击	ji	821
凼	dang	363
函	han	2314
凿	zao	653
刀	dao	3022
刁	diao	562
刃	ren	1216
分	fen	632196
切	qie	172301
刈	yi	207
刊	kan	2902
刍	chu	389
刎	wen	482
刑	xing	985
划	hua	6801
刖	yue	370
列	lie	16432
刘	liu	5215
则	ze	219970
刚	gang	76154
创	chuang	15220
初	chu	5210
删	shan	2759
判	pan	3231
刨	bao	503
刨	pao	556
利	li	29304
别	bie	69975
刬	chan	262
刭	jing	370
刮	gua	4428
到	dao	1011878
刳	ku	325
制	zhi	3895
刷	shua	72750
券	quan	3053
券	xuan	156
刹	cha	161
刹	sha	605
刺	ci	6702
刻	ke	3920
刽	gui	413
刿	gui	374
剀	kai	302
剁	duo	2363
剂	ji	680
剃	ti	488
剅	lou	221
削	xiao	164
削	xue	3489
剋	ke	310
剋	kei	113
剌	la	519
前	qian	261995
剐	gua	472
剑	jian	842
剔	ti	1366
剕	fei	264
剖	pou	606
剜	wan	389
剞	ji	48
剟	duo	173
剡	shan	322
剥	bao	594
剥	bo	567
剧	ju	2938
剩	sheng	1353
剪	jian	733
副	fu	1391
割	ge	1487
剽	piao	315
剿	jiao	162
劁	qiao	283
劂	jue	236
劄	zha	374
劈	pi	1045
劐	huo	185
劓	yi	35
力	li	39553
劝	quan	2118
办	ban	96357
功	gong	4729
加	jia	105545
务	wu	1897
劢	mai	496
劣	lie	2457
动	dong	38035
助	zhu	2973
努	nu	2660
劫	jie	774
劬	qu	293
劭	shao	388
励	li	731
劲	jin	928
劲	jing	627
劳	lao	3159
劼	jie	297
劾	he	447
势	shi	965
勃	bo	611
勇	yong	47866
勉	mian	1371
勋	xun	543
勍	qing	324
勐	meng	447
勒	le	94814
勒	lei	148
勔	mian	245
勖	xu	391
勘	kan	500
勚	yi	1
募	mu	1490
勠	lu	125
勤	qin	2882
勰	xie	397
勺	shao	2883
勾	gou	2423
勿	wu	1711
匀	yun	2219
包	bao	43027
匆	cong	2048
匈	xiong	1322
匍	pu	376
匏	pao	351
匐	fu	311
匕	bi	494
化	hua	18420
北	bei	34302
匙	chi	557
匙	shi	667
匜	yi	22
匝	za	1928
匠	jiang	693
匡	kuang	1168
匣	xia	570
匦	gui	343
匪	fei	1448
匮	kui	440
匹	pi	2464
区	ou	164
区	qu	131167
医	yi	1001
匼	ke	259
匾	bian	560
匿	ni	600
十	shi	10368
千	qian	9777
卅	sa	998
升	sheng	6316
午	wu	917
卉	hui	542
半	ban	52811
华	hua	4561
协	xie	2861
卑	bei	682
卒	cu	1072
卒	zu	829
卓	zhuo	2406
单	chan	148
单	dan	202862
单	shan	487
卖	mai	68187
南	na	1851
南	nan	11740
博	bo	3393
卜	bo	1467
卜	bu	540
卞	bian	462
卟	bu	412
占	zhan	24568
卡	ka	54444
卡	qia	2430
卢	lu	1011
卣	you	322
卤	lu	472
卦	gua	2249
卧	wo	6748
卫	wei	820
卬	ang	1228
卮	zhi	172
卯	mao	576
印	yin	7499
危	wei	924
即	ji	117088
却	que	356337
卵	luan	2799
卷	juan	68069
卸	xie	608
卺	jin	334
卿	qing	666
厂	chang	2027
厄	e	584
厅	ting	2677
历	li	2373
厉	li	691
压	ya	11341
厌	yan	811
厍	she	377
厕	ce	2132
厖	mang	205
厘	li	656
厚	hou	108907
厝	cuo	1171
原	yuan	281959
厢	xiang	691
厣	yan	156
厥	jue	440
厦	sha	671
厦	xia	760
厨	chu	562
厩	jiu	398
厮	si	470
去	qu	1049335
厾	du	341
县	xian	11699
叁	san	3600
参	can	8082
参	cen	270
参	shen	613
叆	ai	322
叇	dai	176
又	you	296624
叉	cha	3307
及	ji	289489
友	you	2066
双	shuang	37793
反	fan	30383
发	fa	119989
叔	shu	662
叕	zhuo	224
取	qu	83892
受	shou	14488
变	bian	93924
叙	xu	612
叚	jia	76
叚	xia	282
叛	pan	2299
叟	sou	1491
叠	die	2781
口	kou	23293
古	gu	4489
句	gou	145
句	ju	2335
另	ling	26530
叨	dao	655
叨	tao	513
叩	kou	1081
只	zhi	185311
叫	jiao	187166
召	shao	138
召	zhao	2366
叭	ba	673
叮	ding	548
可	ke	318931
台	tai	5988
叱	chi	497
史	shi	1136
右	you	12808
叵	po	322
叶	xie	165
叶	ye	16162
号	hao	37516
司	si	3329
叹	tan	1281
叻	le	4410
叼	diao	495
叽	ji	433
吁	xu	501
吁	yu	548
吃	chi	148936
各	ge	10892
吆	yao	582
合	ge	35
合	he	19501
吉	ji	742
吊	diao	2424
同	tong	64200
名	ming	73768
后	hou	871256
吏	li	533
吐	tu	3271
向	xiang	27303
吒	zha	265
吓	he	572
吓	xia	2350
吕	lv	464
吖	a	632
吖	ya	88
吗	ma	602053
君	jun	5194
吝	lin	531
吞	tun	3316
吟	yin	577
吠	fei	544
吡	bi	431
吣	qin	302
否	fou	3394
否	pi	163
吧	ba	1600248
吨	dun	2857
吩	fen	568
含	han	23917
听	ting	125552
吭	hang	100
吭	keng	2092
吮	shun	1864
启	qi	811
吱	zhi	157
吱	zi	552
吲	yin	361
吴	wu	3528
吵	chao	5786
吸	xi	647
吹	chui	38826
吻	wen	5168
吼	hou	12634
吽	hong	386
吾	wu	1802
呀	ya	119862
呃	e	2822
呆	dai	31455
呇	men	162
呇	qi	1
呈	cheng	735
告	gao	3434
呋	fu	309
呐	na	2161
呒	m	4
呓	yi	150
呔	dai	340
呕	ou	2539
呖	li	143
呗	bei	34965
员	yuan	5402
员	yun	520
呙	guo	277
呛	qiang	1264
呜	wu	713
呢	ne	824128
呢	ni	532
呣	m	3
呤	ling	425
呦	you	2686
周	zhou	34964
呱	gu	425
呱	gua	517
呲	ci	434
味	wei	10496
呵	he	3753
呶	nao	322
呷	xia	322
呸	pei	437
呻	shen	523
呼	hu	1605
命	ming	6600
咀	ju	407
咀	zui	21
咂	za	448
咄	duo	481
咆	pao	528
咇	bi	14
咉	yang	310
咋	za	20740
咋	ze	496
咋	zha	155
和	he	6631425
和	hu	516
和	huo	1322
咍	hai	209
咎	jiu	500
咏	yong	13012
咐	fu	455
咒	zhou	591
咔	ka	949
咕	gu	591
咖	ga	2691
咖	ka	3069
咙	long	572
咚	dong	536
咛	ning	366
咝	si	367
咡	er	319
咣	guang	1021
咤	zha	405
咥	xi	2
咦	yi	445
咧	lie	3086
咨	zi	2366
咩	mie	2362
咪	mi	631
咫	zhi	331
咬	yao	670
咯	ge	884
咯	ka	2346
咯	lo	4946
咯	luo	39
咱	zan	27892
咳	hai	1172
咳	ke	830
咴	hui	294
咸	xian	881
咺	xuan	442
咻	xiu	401
咽	yan	1236
咽	ye	523
咿	yi	249
哀	ai	863
品	pin	15681
哂	shen	394
哃	tong	217
哄	hong	1216
哆	duo	510
哇	wa	20593
哈	ha	56358
哉	zai	1265
哌	pai	372
响	xiang	8080
哎	ai	85389
哏	gen	1716
哐	kuang	391
哑	ya	752
哒	da	286
哓	xiao	379
哔	bi	463
哕	hui	98
