㑇	zhou	primary
㑊	yi	primary
㕮	fu	primary
㘎	han	primary
㙍	duo	primary
㙘	yao	primary
㙦	xie	primary
㛃	jie	primary
㛚	tong	primary
㛹	pian	primary
㟃	si	primary
㠇	jiu	primary
㠓	meng	primary
㤘	zhou	primary
㥄	ling	primary
㧐	song	primary
㧑	hui	primary
㧟	kuai	primary
㫰	lang	primary
㬊	huan	primary
㬎	xian	primary
㬚	che	primary
㭎	gang	primary
㭕	qu	primary
㮾	lang	primary
㰀	li	primary
㳇	fu	primary
㳘	chong	primary
㳚	xu	primary
㴔	xi	primary
㴔	ji	alt
㵐	jue	primary
㶲	yong	primary
㸆	kao	primary
㸌	huo	primary
㺄	yu	primary
㻬	tu	primary
㽏	gan	primary
㿠	huang	primary
䁖	lou	primary
䂮	lve	primary
䃅	di	primary
䃎	zha	primary
䅟	can	primary
䌹	jiong	primary
䎃	ran	primary
䎖	zeng	primary
䏝	zhuan	primary
䏡	shi	primary
䏲	die	primary
䏲	ti	alt
䐃	jun	primary
䓖	qiong	primary
䓛	qu	primary
䓨	ying	primary
䓫	qi	primary
䓬	zhuo	primary
䗖	di	primary
䗛	xiu	primary
䗪	zhe	primary
䗴	ting	primary
䜣	xin	primary
䝙	chu	primary
䢺	chu	primary
䢼	gong	primary
䣘	tang	primary
䥽	po	primary
䦃	zhuo	primary
䲟	yin	primary
䲠	chun	primary
䲢	teng	primary
䴓	shi	primary
䴔	jiao	primary
䴕	lie	primary
䴖	jing	primary
䴗	ju	primary
䴘	ti	primary
䴙	pi	primary
䶮	yan	primary
一	yi	primary
丁	ding	primary
七	qi	primary
万	wan	primary
万	mo	alt
丈	zhang	primary
三	san	primary
上	shang	primary
下	xia	primary
不	bu	primary
与	yu	primary
丏	mian	primary
丐	gai	primary
丑	chou	primary
专	zhuan	primary
且	qie	primary
丕	pi	primary
世	shi	primary
丘	qiu	primary
丙	bing	primary
业	ye	primary
丛	cong	primary
东	dong	primary
丝	si	primary
丞	cheng	primary
丢	diu	primary
两	liang	primary
严	yan	primary
丧	sang	primary
个	ge	primary
丫	ya	primary
中	zhong	primary
丰	feng	primary
串	chuan	primary
临	lin	primary
丸	wan	primary
丹	dan	primary
为	wei	primary
主	zhu	primary
丽	li	primary
举	ju	primary
乂	yi	primary
乃	nai	primary
久	jiu	primary
么	me	primary
义	yi	primary
之	zhi	primary
乌	wu	primary
乍	zha	primary
乎	hu	primary
乏	fa	primary
乐	le	primary
乐	yue	alt
乒	ping	primary
乓	pang	primary
乔	qiao	primary
乖	guai	primary
乘	cheng	primary
乙	yi	primary
乜	mie	primary
乜	nie	alt
九	jiu	primary
乞	qi	primary
也	ye	primary
习	xi	primary
乡	xiang	primary
书	shu	primary
乩	ji	primary
买	mai	primary
乱	luan	primary
乳	ru	primary
乸	na	primary
乾	qian	primary
了	le	primary
了	liao	alt
予	yu	primary
争	zheng	primary
事	shi	primary
二	er	primary
亍	chu	primary
于	yu	primary
亏	kui	primary
云	yun	primary
互	hu	primary
亓	qi	primary
五	wu	primary
井	jing	primary
亘	gen	primary
亚	ya	primary
些	xie	primary
亟	ji	primary
亟	qi	alt
亡	wang	primary
亢	kang	primary
交	jiao	primary
亥	hai	primary
亦	yi	primary
产	chan	primary
亨	heng	primary
亩	mu	primary
享	xiang	primary
京	jing	primary
亭	ting	primary
亮	liang	primary
亲	qin	primary
亲	qing	alt
亳	bo	primary
亵	xie	primary
亶	dan	primary
亸	duo	primary
亹	wei	primary
人	ren	primary
亿	yi	primary
什	shen	primary
什	shi	alt
仁	ren	primary
仂	le	primary
仃	ding	primary
仄	ze	primary
仅	jin	primary
仆	pu	primary
仇	chou	primary
仇	qiu	alt
仉	zhang	primary
今	jin	primary
介	jie	primary
仍	reng	primary
从	cong	primary
仑	lun	primary
仓	cang	primary
仔	zai	primary
仔	zi	alt
仕	shi	primary
他	ta	primary
仗	zhang	primary
付	fu	primary
仙	xian	primary
仝	tong	primary
仞	ren	primary
仟	qian	primary
仡	ge	primary
代	dai	primary
令	ling	primary
以	yi	primary
仨	sa	primary
仪	yi	primary
仫	mu	primary
们	men	primary
仰	yang	primary
仲	zhong	primary
仳	pi	primary
仵	wu	primary
件	jian	primary
价	jia	primary
价	jie	alt
任	ren	primary
份	fen	primary
仿	fang	primary
企	qi	primary
伈	xin	primary
伉	kang	primary
伊	yi	primary
伋	ji	primary
伍	wu	primary
伎	ji	primary
伏	fu	primary
伐	fa	primary
休	xiu	primary
众	zhong	primary
优	you	primary
伙	huo	primary
会	hui	primary
会	kuai	alt
伛	yu	primary
伞	san	primary
伟	wei	primary
传	chuan	primary
传	zhuan	alt
伢	ya	primary
伣	qian	primary
伤	shang	primary
伥	chang	primary
伦	lun	primary
伧	cang	primary
伪	wei	primary
伫	zhu	primary
伭	xian	primary
伯	bo	primary
伯	bai	alt
估	gu	primary
伲	ni	primary
伴	ban	primary
伶	ling	primary
伸	shen	primary
伺	ci	primary
伺	si	alt
似	shi	primary
似	si	alt
伽	ga	primary
伽	jia	alt
伽	qie	alt
伾	pi	primary
佁	yi	primary
佃	dian	primary
但	dan	primary
位	wei	primary
低	di	primary
住	zhu	primary
佐	zuo	primary
佑	you	primary
体	ti	primary
何	he	primary
佖	bi	primary
佗	tuo	primary
佘	she	primary
余	yu	primary
佚	yi	primary
佛	fu	primary
佛	fo	alt
作	zuo	primary
佝	gou	primary
佞	ning	primary
佟	tong	primary
你	ni	primary
佣	yong	primary
佤	wa	primary
佥	qian	primary
佩	pei	primary
佬	lao	primary
佯	yang	primary
佰	bai	primary
佳	jia	primary
佴	er	primary
佴	nai	alt
佶	ji	primary
佸	huo	primary
佺	quan	primary
佻	tiao	primary
佼	jiao	primary
佽	ci	primary
佾	yi	primary
使	shi	primary
侁	shen	primary
侂	tuo	primary
侃	kan	primary
侄	zhi	primary
侈	chi	primary
侉	kua	primary
例	li	primary
侍	shi	primary
侏	zhu	primary
侑	you	primary
侔	mou	primary
侗	dong	primary
侘	cha	primary
供	gong	primary
依	yi	primary
侠	xia	primary
侣	lv	primary
侥	jiao	primary
侥	yao	alt
侦	zhen	primary
侧	ce	primary
侨	qiao	primary
侩	kuai	primary
侪	chai	primary
侬	nong	primary
侮	wu	primary
侯	hou	primary
侴	chou	primary
侵	qin	primary
侹	ting	primary
便	bian	primary
便	pian	alt
促	cu	primary
俄	e	primary
俅	qiu	primary
俊	jun	primary
俍	liang	primary
俎	zu	primary
俏	qiao	primary
俐	li	primary
俑	yong	primary
俗	su	primary
俘	fu	primary
俙	xi	primary
俚	li	primary
俜	ping	primary
保	bao	primary
俞	yu	primary
俟	qi	primary
俟	si	alt
信	xin	primary
俣	yu	primary
俦	chou	primary
俨	yan	primary
俩	lia	primary
俩	liang	alt
俪	li	primary
俫	lai	primary
俭	jian	primary
修	xiu	primary
俯	fu	primary
俱	ju	primary
俳	pai	primary
俵	biao	primary
俶	chu	primary
俸	feng	primary
