〇	líng	lkvv
㑎	nǎo	ncre
㒼	mán	mjnr
㓥	tāng	thxd
㗎	gá gǎ gà	gakm
㝵	dé	deoc
㞎	bǎ	baub
㞗	qiú	qquq
㞞	sóng	ssur
㧾	hū	hufx
㨃	duǐ	dvfz
㨄	zhōu	vzfk
㨤	kuǎi	kkff
㮟	kā	kamm
㱔	suò	sovx
䌷	chōu chóu	izsy
䍃	yáo	ycpf
䒤	rì	rico
䖝	chóng	ispi
䗉	chāng	ihio
䠍	qiá	qxzy
丌	qí	qial
丼	jǐng dăn	jkjd djjd
乇	tuō	topq
亖	sì	siee
亽	jí	jird
仌	bīng	bkrr
伝	yún	yyrs
佢	qú	qurj
佧	kǎ	karb
価	jià	jxrx
係	xì	xirx
俤	dì	dirp
兲	tiān	tmwb
円	yuán	yrka
冇	mǎo	mcuk
冓	gòu	gzar
冚	kǎn	kjbe
冧	lín	lbbm
冴	yà	yady
凊	qìng	qkdo
凨	fēng	fgjs
凪	zhǐ	vijv
凬	fēng	fgjo
劵	juàn	jrjl
勹	bāo	bcpv
匂	xiōng	xsbb
卌	xì	xial
卍	wàn	wjvl
卐	wàn	wjva
厷	gōng	gsus
厹	róu	rzjs
厽	lěi	lwss
叒	ruò	royy
吂	máng	mhwk
吋	cùn	cykc
吔	yē	yeky
呎	chǐ	iiki
呯	píng	pkkp
咁	xián gān	gjkg
咅	pǒu	pzlk
咗	zuo	zokg
咲	xiào	xnkt
咹	àn	ankn
咼	guō	golk
咾	lǎo	lckb
哋	diè dì	diky
唓	chē	ieki
唞	dóu	dzku
唸	niàn	nmkx
啇	dí	diwk
啋	cǎi	cdkm
啩	guà	gxkb
啱	ān	anku
啲	dī	diku
啳	júe	jtkv
喎	wǒ	wokk
喥	duó zhà	doky
喰	cān	cjkl
喺	xí	xikx
喿	zào	zckm
嗮	sai	sdkx
嗰	gó gǒ	gokk
嗱	ná	naku
嗻	zhē zhè zhù zhe	vekh
嘅	kǎi gě	gekv
嘢	yě	yekl
嘥	sāi	sdkr
嘦	jiào	jnkn
噃	fān bo	bokt
噷	hěn hèn	hmkr
嚟	lí	liku
嚡	xié hái	hdkt
嚱	xī	xikg
囝	nān	njkz
囧	jiǒng	jskv
囪	cōng	cspd
坴	lù	lutt
垅	lǒng	lstl
垇	ào	aota
垰	kǎ	katx
埜	yě	yemt
堀	kū	kuti
夋	qūn	qysw
夌	líng	lktw
夗	wǎn wān yuàn yuān	wjxv
夰	gǎo	gcdl
夲	běn	bfdu
奀	ēn	enbd
妉	dān	djnv
妜	yuè jué	jtng ytng
妡	xīn	xbnj
妳	nǐ	ninx
姀	hé	henh
姕	zī	zivn
娭	āi	ainu
娸	qī	qinb
婋	xiāo	xnnj
嫐	nǎo	ncnn
嫛	yī	yikn
嫮	hù	hunk
嫲	mā má	manm
嬅	huà	hxnl
嬎	fàn	fjnu
嬢	niáng	nlny
嬲	niǎo	nntl
実	shí	uibn
尛	mó	moxx
尞	liáo	lndx
屄	bī	biub
屌	diǎo	dnuj
峇	bā	baek
崑	kūn	kyeb
巭	gū	gugf
巿	fú	fual
広	guǎng	glgs
忈	rén	rfex
怹	tān	tjrx
恏	hào	hcnx
惗	niàn	nmxx
惢	suǒ ruǐ	soxx rvxx
慜	mín	mbpx
戉	yuè	ytgv
抦	bǐng	bkfb
拚	pīn pàn	pbfc pjfc
挼	ruá ruó	rofn rxfn
捱	ái	aift
掟	zhěng dìng	dkfr
揎	xuān	xrfa
揞	ǎn	anfo
揼	bèng	bgfu
揾	wèn	wffm
搊	chōu	izfp
搣	miè	mpfh
搧	shān	ujfx
搲	wā wǎ wà	wafg
撚	niǎn	nmfh
擝	mēng	mgfm
攞	luó	loff
攰	guì	gvul
敹	liáo	lnlw
斢	tiǎo	tncu
旡	jì	jiav
昍	xuān	xroo
昜	yáng	yhow
昰	shì	uiov
昷	wēn	wfom
晹	yì	yiow
暒	qíng	qkou
朊	ruǎn	rroe
朒	gǎ	gaor
朤	lǎng	lhoo
杺	xīn	xbmx
枔	xín	xbmv
枼	yè	yeum
桜	ying	ykmn
棯	shěn	ufmx
椮	sēn	sfmp
楢	yóu yǒu	yzmy
榀	pǐn	pbmk
槅	gé	geml
槑	méi	mwkm
欋	qú	qumf
毑	jiě	jpmy
毬	qiú	qqmq
毰	péi	pwmk
毸	sāi	sdmx
氶	chéng zhèng	igln vgln
氼	nì	niur
氽	tǔn	tyru
沢	zé	zedi
沵	mǐ lì	midx
渳	mǐ	mide
湦	shēng	ugdu
潀	cóng zǒng	csdr zsdr
潎	piē	ppdw
澋	jǐng	jkdx
濛	méng	mgdn
瀞	jìng	jkdl
灀	shuàng	uldo
炁	qì	qiah
炤	zhào zhāo	vchk
炩	lìng	lkhs
烎	yín	ybkh
烓	wēi	wwht
焺	shēng	ughu
煠	zhá	vahm
牠	tā	tany
犮	bá	baud
犼	hǒu	hzqv
犽	yà	yaqy
猋	biāo	bnqq
玊	sù	suwd
玏	lè	lewl
玽	gǒu	gzwk
珃	rǎn	ugwr
珄	shēng	ugwu
珮	pèi	pwwj
琂	yán	yjwk
琞	shèng	ugoy
瑊	jiān	jmwk
瑠	liú	lqwt
甙	dài	ddyg
畊	gēng	ggjt
畐	fú	fuat
畑	tián	tmht
畩	yī	yity
畺	jiāng jiàng	jlaa
畾	léi	lwtt
疌	jié	jpar
盻	xì pǎn	xiov pjov
睖	lèng	lgow
睩	lù	luou
瞓	fèn	ffoi
砦	zhài	vdv
砳	lè	leuu
硷	jiǎn	jmua
磺	huáng	hlub
礽	réng	rgpn
祂	tā	tapy
禑	wú	wupy
筊	jiǎo jiào	jnvx
籺	hé	hemq
粄	bǎn	bjmy
粦	lín	lbml
糀	huā	hxmb
糸	sī	siyx
罖	wǎng	whsd
罧	shēn	ufsm
羴	shān	ujyy
翧	xuān	xrbx
肏	cào	ccrr
肙	yuān	yrko
肶	bǐ bì	biob
膖	pāng	phoz
膥	cūn	cymr
膬	cuì	cvom
芶	gǒu	gzcs
苶	nié	npcx
荌	àn	ancn
莀	chén	ifcn
莯	mù	mucm
菈	lā	lacl
菓	guǒ	gocg
菴	ān	ancd
蒦	huò	hocy
