〇	乛 乛	乛	líng
㑇	亻 彐	亻 ⺈ 彐	zhòu
㑊	亻 丶	亻 亠 丿 丨 丿 丶	yì
㑎	亻 山	亻 乛 乛 乛 山	nǎo
㒼	廿 入	廿 巾 入 入	mán
㓥	⺌ 刂	⺌ 彐 刂	tāng
㕮	口 乂	口 八 乂	fǔ
㗎	囗 木	口 力 口 木	gá gǎ gà
㘎	口 攵	口 门 乛 耳 攵	hǎn
㙍	土 又	土 又 又 又 又	duō
㙘	土 女	土 西 女	yāo
㙦	人 土	人 余下 丶 丶 十 土	xié
㛃	丰 女	丰 刀 女	jié
㛚	女 用	女 龴 用	tǒng
㛹	女 更	女 亻 更	pián
㝵	日 寸	日 一 寸	dé
㞎	尸 巴	尸 巴	bǎ
㞗	尸 求	尸 求	qiú
㞞	尸 人	尸 人 人 彳 丨 一 人	sóng
㟃	山 口	山 乛 一 口	sī
㠇	山 尤	山 亠 口 小 尤	jiù
㠓	山 ㄟ	山 艹 冖 二 丿 乛 丿 丿 丿 ㄟ	méng
㤘	忄 彐	忄 ⺈ 彐	zhòu
㥄	忄 夂	忄 土 八 夂	líng
㧐	扌 又	扌 又 又	sǒng
㧑	扌 为	扌 为	wéi
㧟	扌 匚	扌 氵 匚	kuǎi
㧾	扌 心	扌 勿 心	hū
㨃	扌 子	扌 亠 口 子	duǐ
㨄	扌 口	扌 冂 土 口	zhōu
㨤	扌 龶	扌 匚 亻 亠 龶	kuǎi
㫰	日 良	日 良	lǎng
㬊	日 又	日 丿 ⺍ 一 𠂇 又	huǎn
㬎	日 灬	日 幺 幺 灬	xiǎn
㬚	日 攵	日 亠 厶 月 攵	chè
㭎	木 乂	木 冂 乂	gāng
㭕	木 厶	木 土 厶	qū
㮟	木 木	木 石 木	kā
㮾	丶 木	丶 即左 月 木	lǎng
㰀	木 氺	木 禾 勹 丿 人 氺	lí
㱔	止 夕	止 匕 夕	suò
㳇	氵 乂	氵 八 乂	fù
㳘	氵 儿	氵 亠 厶 儿	chōng
㳚	氵 戍	氵 戍	xù
㴔	氵 心	氵 ⺈ 彐 心	jí
㵐	氵 人	氵 厂 丷 一 乛 丨 丿 ⺈ 人	jué
㶲	火 用	火 用	yòng
㸆	火 非	火 ⺧ 口 非	kào
㸌	火 龶	火 雨 亻 亠 龶	huò
㺄	犭 刂	犭 人 一 月 刂	yǔ
㻬	王 亏	王 雨 亏	tú
㽏	氵 甘	氵 人 一 口 甘	gàn
㿠	白 兀	白 ⺌ 兀	huàng
䁖	目 女	目 米 女	lōu
䂮	丰 石	丰 刀 石	lüe
䃅	石 丨	石 丷 丨 乛 一 一 一 丨	dī
䃎	石 夕	石 大 夕 夕	zhǎ
䅟	禾 丿	禾 厶 大 丿 丿 丿	cǎn
䌷	纟 由	纟 由	chōu chóu
䌹	纟 口	纟 冂 口	jiōng jiǒng
䍃	丿 缶	丿 ⺍ 缶	yáo
䎃	冉 习	冉 习 习	rǎn
䎖	丷 习	丷 囗 ⺌ 日 习 习	zēng
䏝	月 专	月 专	zhuǎn
䏡	月 小	月 二 小	shì
䏲	月 丿	月 丷 乛 一 乛 丨 丿	dié
䐃	月 禾	月 囗 禾	jiǒng
䒤	艹 日	艹 日	rì
䓖	艹 力	艹 宀 八 力	qióng
䓛	艹 出	艹 尸 出	qū
䓨	艹 缶	艹 冖 缶	yīng
䓫	艹 口	艹 大 丁 口	qí
䓬	艹 十	艹 丨 一 日 十	zhuó
䖝	丿 虫	丿 虫	chóng
䗉	虫 日	虫 日 日	chāng
䗖	虫 巾	虫 带上 冖 巾	dì
䗛	虫 月	虫 亻 丨 夂 月	xiū
䗪	广 虫	广 廿 灬 虫	zhè
䗴	虫 廴	虫 ⺮ 壬 廴	tíng
䜣	讠 斤	讠 斤	xīn
䝙	豸 乂	豸 匚 乂	chū
䠍	⻊ 又	⻊ 乛 一 丨 一 一 乛 一 又	qiá
䢺	出 阝	出 阝	chū
䢼	艹 阝	艹 一 八 阝	gōng
䣘	⺌ 阝	⺌ 冖 口 土 阝	táng
䥽	钅 丶	钅 乛 丿 又 丶	pō
