# 官网形码审计表(2026-09-15):hanzi_shapes.tsv 切换前的差异比对数据,不被 include_str 消费
# source: flypy.cc ixdata.json 8414 字;列:字<TAB>官网形码集合(|分隔)<TAB>官网全码(音2形2)<TAB>现表形码(<TAB>标记
# 官网权威性由所有者确认;差异 345 处根因:官网按笔顺首末部件,现表按字义主部件(见 CROSSCHECK.md)
# 切换计划:后续代码 PR 修改 xhup-core shape.rs 消费本表后,hanzi_shapes.tsv 才更新
〇	vv	lkvv	-	
㑇	re	vzre	re	
㑊	rd	yird	rd	
㑎	re	ncre	-	
㒼	nr	mjnr	-	
㓥	xd	thxd	-	
㕮	kx	fukx	kx	
㗎	km	gakm	-	
㘎	kw	hjkw	kw	
㙍	ty	doty	ty	
㙘	tn	yctn	tn	
㙦	rt	xprt	rt	
㛃	fn	jpfn	fn	
㛚	ny	tsny	ny	
㛹	ng	pmng	ng	
㝵	oc	deoc	-	
㞎	ub	baub	-	
㞗	uq	qquq	-	
㞞	ur	ssur	-	
㟃	ek	siek	ek	
㠇	ey	jqey	ey	
㠓	en	mgen	eu	DIFF
㤘	xe	vzxe	xe	
㥄	xw	lkxw	xw	
㧐	fy	ssfy	fy	
㧑	fw	wwfw	fw	
㧟	fk	kkfk	fk	
㧾	fx	hufx	-	
㨃	fz	dvfz	-	
㨄	fk	vzfk	-	
㨤	ff	kkff	-	
㫰	ol	lhol	ol	
㬊	oy	hroy	oy	
㬎	oh	xmoh	oh	
㬚	ow	ieow	ow	
㭎	mx	ghmx	mx	
㭕	ms	qums	ms	
㮟	mm	kamm	-	
㮾	dm	lhdm	dm	
㰀	mu	limu	mu	
㱔	vx	sovx	-	
㳇	dx	fudx	dx	
㳘	de	isde	de	
㳚	du	xudu	du	
㴔	dx	jidx	dx	
㵐	dr	jtdr	dr	
㶲	hy	yshy	hy	
㸆	hf	kchf	hf	
㸌	hf	hohf	hf	
㺄	qd	yuqd	qd	
㻬	wk	tuwk	wk	
㽏	dg	gjdg	dg	
㿠	bw	hlbw	bw	
䁖	on	lzon	on	
䂮	fu	ltfu	fu	
䃅	ul	diul	ul	
䃎	ux	vaux	ux	
䅟	hp	cjhp	hp	
䌷	sy	izsy	-	
䌹	sk	jssk	sk	
䍃	pf	ycpf	-	
䎃	rx	rjrx	rx	
䎖	bx	zgbx	bx	
䏝	ov	vrov	ov	
䏡	ox	uiox	ox	
䏲	op	dpop	op	
䐃	oh	jsoh	om	DIFF
䒤	co	rico	-	
䓖	cl	qscl	cl	
䓛	ci	quci	ci	
䓨	cf	ykcf	cf	
䓫	ck	qick	ck	
䓬	cu	vocu	cu	
䖝	pi	ispi	-	
䗉	io	ihio	-	
䗖	ij	diij	ij	
䗛	io	xqio	io	
䗪	gi	vegi	gi	
䗴	iz	tkiz	iz	
䜣	yj	xbyj	yj	
䝙	vx	iuvx	vx	
䠍	zy	qxzy	-	
䢺	ie	iuie	ie	
䢼	ce	gsce	ge	DIFF
䣘	xe	thxe	xe	
䥽	jd	pojd	jd	
䦃	jo	vojo	jo	
䲟	ae	ybae	ye	DIFF
䲠	ao	iyao	yo	DIFF
䲢	oa	tgoa	oa	
䴓	an	uian	bn	DIFF
䴔	wn	jnwn	wn	
䴕	dn	lpdn	dn	
䴖	fn	jkfn	fn	
䴗	on	juon	on	
䴘	pn	tipn	pn	
䴙	un	piun	un	
䶮	lt	yjlt	lt	
一	aa	yiaa	aa	
丁	al	dkal vgal	al	
七	av	qiav	av	
万	ap	wjap moap	ap	
丈	an	vhan	an	
三	ae	sjae	ae	
上	la	uhla	la	
下	ab	xxab	ab	
丌	al	qial	-	
不	ad	buad	ad	
与	aa	yuaa	aa	
丏	av	mmav	av	
丐	av	gdav	av	
丑	va	izva	va	
专	ad	vrad	ad	
且	la	jula qpla	la	
丕	ba	piba	ba	
世	av	uiav	av	
丘	pa	qqpa	pa	
丙	an	bkan	an	
业	la	yela	la	
丛	ra	csra	ra	
东	ad	dsad	ad	
丝	va	siva	va	
丞	la	igla	la	
丢	ps	dqps	ps	
两	ad	llad	ad	
严	yp	yjyp	yp	
丧	un	shun	un	
个	rl	gerl	rl	
丫	bl	yabl	bl	
中	ll	vsll	ll	
丰	al	fgal	al	
串	ll	irll	ll	
临	la	lbla	la	
丸	pd	wjpd	pd	
丹	pa	djpa	pa	
为	dd	wwdd	dd	
主	dw	vudw	wt	DIFF
丼	jd	jkjd djjd	-	
丽	ad	liad	ad	
举	xl	juxl	xl	
乂	pn	yipn	pn	
乃	vp	ndvp	vp	
久	pn	jqpn	pn	
乇	pq	topq	-	
么	ps	meps maps ycps	ps	
义	dx	yidx	dx	
之	dn	vidn	dn	
乌	pa	wupa	pa	
乍	pa	vapa	ra	DIFF
乎	pl	hupl	pl	
乏	pv	fapv	pz	DIFF
乐	pd	lepd ytpd lcpd	pd	
乒	qp	pkqp	qp	
乓	qd	phqd	qd	
乔	yl	qnyl	yl	
乖	qb	gkqb	qb	
乘	qn	igqn ugqn	qn	
乙	vv	yivv	vv	
乜	vv	mpvv npvv	vv	
九	pv	jqpv	pv	
乞	pv	qipv	rv	DIFF
也	vv	yevv	vv	
习	vd	xivd	vd	
乡	vp	xlvp	vp	
书	vd	uuvd	vd	
乩	lv	jilv	vv	DIFF
买	vd	mdvd	vd	
乱	qv	lrqv	qv	
乳	pv	rupv	vv	DIFF
乸	ym	naym	ym	
乾	uq	qmuq	uq	
了	vl	levl lnvl	vl	
予	sl	yusl	sl	
争	dl	vgdl	dl	
事	al	uial	al	
二	aa	eraa	aa	
亍	ad	iuad	el	DIFF
于	al	yual	al	
亏	ev	kvev	ev	
云	es	yyes	es	
互	aa	huaa	aa	
亓	el	qiel	el	
五	aa	wuaa	aa	
井	al	jkal	al	
亖	ee	siee	-	
亘	aa	gfaa	aa	
亚	ay	yaay	ay	
些	ve	xpve	ve	
亟	la	jila qila	la	
亡	wv	whwv	wv	
亢	wj	khwj	wj	
交	wx	jnwx	wx	
亥	wr	hdwr	wr	
亦	wd	yiwd	wd	
产	lp	ijlp	wi	DIFF
亨	wl	hgwl	wl	
亩	wt	muwt	wt	
享	wz	xlwz	wz	
京	wx	jkwx	wx	
亭	wd	tkwd	wd	
亮	wj	llwj	wj	
亲	lm	qklm qblm	lm	
亳	wq	bowq	wq	
亵	wy	xpwy	wy	
亶	wa	djwa	wa	
亸	wl	dowl	wl	
亹	wq	mfwq wwwq	wq	
人	pn	rfpn	pn	
亽	rd	jird	-	
亿	rv	yirv	rv	
什	ru	uiru ufru	ru	
仁	re	rfre	re	
仂	rl	lerl	rl	
仃	rd	dkrd	rd	
仄	ir	zeir	ir	
仅	ry	jbry	ry	
仆	rb	purb	rb	
仇	rj	izrj qqrj	rj	
仉	rj	vhrj	rj	
今	rv	jbrv	rv	
介	rl	jprl	rl	
仌	rr	bkrr	-	
