# XHUP Flow optimizer v2 FIXED_FIRST word shortcuts.
# Source universe: data/words/wanxiang_base_words.tsv
# operating point: rk-steep|a0.25|d0.5|x1|e-conversation
# parameters: rank_curve/ambiguity/disruption/xhup_deviation/evidence = rk-steep|a0.25|d0.5|x1|e-conversation
# generated: 2026-09-08 by export-v2-canonical (deterministic; do not hand-edit)
# input dump sha256: a451bce1187efba0edbd7d3d02bc17331fb3da9dc903625e57c3dc310b6c60ea
# selected mapping sha256: a8ab5f6deae91f28e02f790153cfba9ab493605ee9e84aad0abea5a660012cdc
爱酱	aijl	aij	FI
爱女	ainv	ain	FI
艾森	aisf	ais	FI
爱意	aiyi	aiy	FI
安达	anda	and	FI
安徽	anhv	anh	FI
安吉	anji	anj	FI
俺们	anmf	anm	FI
安娜	anna	ann	FI
按他	anta	ant	FI
暗哑	anya	any	FI
嗷嗷	aoao	aoa	FI
奥义	aoyi	aoy	FI
八达	bada	bad	FI
八公	bags	bag	FI
扒车	baie	bai	FI
八戒	bajp	baj	FI
巴黎	bali	bal	FI
爸妈	bama	bam	FI
八年	banm	ban	FI
把头	batz	bat	FI
八字	bazi	baz	FI
缤纷	bbff	bbf	FI
比不过	bibugo	bbg	III
被别人	bwbprf	bbr	III
濒死	bbsi	bbs	FI
比不上	bibuuh	bbu	III
保安	bcan	bca	FI
不错的	bucode	bcd	III
保命	bcmk	bcm	FI
爆破	bcpo	bcp	FI
保守	bcuz	bcu	FI
暴涨	bcvh	bcv	FI
包围	bcww	bcw	FI
不参与	bucjyu	bcy	III
包子	bczi	bcz	FI
百花	bdhx	bdh	FI
拜仁	bdrf	bdr	FI
不方便	bufhbm	bfb	III
本金	bfjb	bfj	FI
本名	bfmk	bfm	FI
本能	bfng	bfn	FI
部分人	buffrf	bfr	III
本色	bfse	bfs	FI
本田	bftm	bft	FI
比方说	bifhuo	bfu	III
不改变	bugdbm	bgb	III
不过看	bugokj	bgk	III
不公平	bugspk	bgp	III
不过我	bugowo	bgw	III
饱和度	bchedu	bhd	III
不好吃	buhcii	bhi	III
不好看	buhckj	bhk	III
被害人	bwhdrf	bhr	III
帮她	bhta	bht	FI
不合适	buheui	bhu	III
帮我	bhwo	bhw	FI
不会有	buhvyz	bhy	III
比稿	bigc	big	FI
壁画	bihx	bih	FI
逼出	biiu	bii	FI
比较	bijn	bij	FI
比你	bini	bin	FI
不差钱	buiaqm	biq	III
不承认	buigrf	bir	III
比它	bita	bit	FI
被称为	bwigww	biw	III
闭眼	biyj	biy	FI
被举报	bwjubc	bjb	III
不及格	bujige	bjg	III
不仅仅	bujbjb	bjj	III
比较难	bijnnj	bjn	III
伴随	bjsv	bjs	FI
贝吉塔	bwjita	bjt	III
背景下	bwjkxx	bjx	III
病房	bkfh	bkf	FI
不看好	bukjhc	bkh	III
病媒	bkmw	bkm	FI
不靠谱	bukcpu	bkp	III
不客气	bukeqi	bkq	III
并未	bkww	bkw	FI
不明白	bumkbd	bmb	III
鞭策	bmce	bmc	FI
编的	bmde	bmd	FI
蝙蝠	bmfu	bmf	FI
变个	bmge	bmg	FI
变化	bmhx	bmh	FI
编程	bmig	bmi	FI
便能	bmng	bmn	FI
编排	bmpd	bmp	FI
不陌生	bumoug	bmu	III
变质	bmvi	bmv	FI
不能报	bungbc	bnb	III
表层	bncg	bnc	FI
半年多	bjnmdo	bnd	III
表盘	bnpj	bnp	FI
不能有	bungyz	bny	III
博爱	boai	boa	FI
波波	bobo	bob	FI
菠菜	bocd	boc	FI
波恩	boen	boe	FI
渤海	bohd	boh	FI
波及	boji	boj	FI
博客	boke	bok	FI
玻璃	boli	bol	FI
拨片	bopm	bop	FI
博弈	boyi	boy	FI
脖子	bozi	boz	FI
不错	buco	buc	FI
部分	buff	buf	FI
不畅	buih	bui	FI
不仅	bujb	buj	FI
补开	bukd	buk	FI
不少人	buucrf	bur	III
不是他	buuita	but	III
不是	buui	buu	FI
步行	buxk	bux	FI
不属于	buuuyu	buy	III
不再	buzd	buz	FI
北侧	bwce	bwc	FI
不稳定	buwfdk	bwd	III
被告	bwgc	bwg	FI
北海	bwhd	bwh	FI
背景	bwjk	bwj	FI
卑南	bwnj	bwn	FI
悲情	bwqk	bwq	FI
北人	bwrf	bwr	FI
北上	bwuh	bwu	FI
备选	bwxr	bwx	FI
粗糙的	cuccde	ccd	III
操场	ccih	cci	FI
草书	ccuu	ccu	FI
草纸	ccvi	ccv	FI
菜肉	cdrz	cdr	FI
才是	cdui	cdu	FI
才子	cdzi	cdz	FI
次次	cici	cic	FI
此歌	cige	cig	FI
词人	cirf	cir	FI
此事	ciui	ciu	FI
此文	ciwf	ciw	FI
存储在	cyiuzd	ciz	III
餐费	cjfw	cjf	FI
参谋	cjmz	cjm	FI
参数	cjuu	cju	FI
措辞	coci	coc	FI
错乱	colr	col	FI
措施	coui	cou	FI
错位	coww	cow	FI
彩色的	cdsede	csd	III
从而	cser	cse	FI
葱花	cshx	csh	FI
从新	csxb	csx	FI
粗糙	cucc	cuc	FI
粗的	cude	cud	FI
菜市场	cduiih	cui	III
财政部	cdvgbu	cvb	III
催促	cvcu	cvc	FI
参照物	cjvcwu	cvw	III
打败	dabd	dab	FI
大促	dacu	dac	FI
大的	dade	dad	FI
大概	dagd	dag	FI
大和	dahe	dah	FI
大奖	dajl	daj	FI
大咖	daka	dak	FI
大门	damf	dam	FI
大闹	danc	dan	FI
大片	dapm	dap	FI
大体	dati	dat	FI
大型	daxk	dax	FI
导航	dchh	dch	FI
道教	dcjn	dcj	FI
捣泥	dcni	dcn	FI
到期	dcqi	dcq	FI
电磁学	dmcixt	dcx	III
导演	dcyj	dcy	FI
单独的	djdude	ddd	III
点点头	dmdmtz	ddt	III
带我	ddwo	ddw	FI
但对于	djdvyu	ddy	III
带走	ddzz	ddz	FI
第二届	dierjp	dej	III
得看	dekj	dek	FI
多方法	dofhfa	dff	III
大股东	daguds	dgd	III
但感觉	djgjjt	dgj	III
的故事	deguui	dgu	III
带给我	ddgwwo	dgw	III
低很多	dihfdo	dhd	III
大环境	dahrjk	dhj	III
动画片	dshxpm	dhp	III
当天	dhtm	dht	FI
动画师	dshxui	dhu	III
当着	dhve	dhv	FI
电话我	dmhxwo	dhw	III
都会有	dzhvyz	dhy	III
迪奥	diao	dia	FI
滴滴	didi	did	FI
敌方	difh	dif	FI
抵触	diiu	dii	FI
第几	diji	dij	FI
抵扣	dikz	dik	FI
地貌	dimc	dim	FI
地暖	dinr	din	FI
底盘	dipj	dip	FI
第四	disi	dis	FI
第十	diui	diu	FI
地质	divi	div	FI
帝王	diwh	diw	FI
对称性	dvifxk	dix	III
地域	diyu	diy	FI
单从	djcs	djc	FI
单曲	djqu	djq	FI
的角色	dejtse	djs	III
单位	djww	djw	FI
单元	djyr	djy	FI
顶刊	dkkj	dkk	FI
定投	dktz	dkt	FI
都开始	dzkdui	dku	III
定位	dkww	dkw	FI
都可以	dzkeyi	dky	III
点八	dmba	dmb	FI
点的	dmde	dmd	FI
点儿	dmer	dme	FI
电话	dmhx	dmh	FI
电锯	dmju	dmj	FI
点燃	dmrj	dmr	FI
电台	dmtd	dmt	FI
大拇指	damuvi	dmv	III
电位	dmww	dmw	FI
电线	dmxm	dmx	FI
电子	dmzi	dmz	FI
碉堡	dnbc	dnb	FI
钓到	dndc	dnd	FI
电脑上	dmncuh	dnu	III
多方	dofh	dof	FI
多个	doge	dog	FI
