# XHUP Flow optimizer v2 PRIMARY word shortcuts.
# Source universe: data/words/wanxiang_base_words.tsv
# operating point: rk-steep|a0.25|d0.5|x1|e-conversation
# parameters: rank_curve/ambiguity/disruption/xhup_deviation/evidence = rk-steep|a0.25|d0.5|x1|e-conversation
# generated: 2026-09-08 by export-v2-canonical (deterministic; do not hand-edit)
# input dump sha256: a451bce1187efba0edbd7d3d02bc17331fb3da9dc903625e57c3dc310b6c60ea
# selected mapping sha256: a8ab5f6deae91f28e02f790153cfba9ab493605ee9e84aad0abea5a660012cdc
暗部	ab	1	1
阿贝	ab	2	2
澳白	ab	3	3
阿部	ab	4	4
艾比	ab	5	5
凹槽	ac	1	1
艾草	ac	2	2
爱的	ad	1	1
爱德	ad	2	2
安迪	ad	3	3
艾达	ad	4	4
艾顿	ad	5	5
阿尔	ae	1	1
爱儿	ae	2	2
安抚	af	1	1
阿福	af	2	2
阿芙	af	3	3
奥飞	af	4	4
挨个	ag	1	1
熬过	ag	2	2
阿甘	ag	3	3
按键	aj	1	1
安静	aj	2	2
案件	aj	3	3
安检	aj	4	4
爱看	ak	1	1
奥克	ak	2	2
安可	ak	3	3
拗口	ak	4	4
艾利	al	1	1
艾丽	al	2	2
暗恋	al	3	3
艾莉	al	4	4
爱莉	al	5	5
傲慢	am	1	1
艾米	am	2	2
挨骂	am	3	3
安排	ap	1	1
啊呸	ap	2	2
爱情	aq	1	1
安琪	aq	2	2
按其	aq	3	3
爱人	ar	1	1
矮人	ar	2	2
岸然	ar	3	3
盎司	as	1	1
埃森	as	2	2
奥赛	as	3	3
安踏	at	1	1
爱她	at	2	2
艾特	at	3	3
按她	at	4	4
暗示	au	1	1
哀伤	au	2	2
按时	au	3	3
暗杀	au	4	4
澳洲	av	1	1
按着	av	2	2
案主	av	3	3
按周	av	4	4
碍着	av	5	5
爱我	aw	1	1
暗卫	aw	2	2
阿威	aw	3	3
阿韦	aw	4	4
阿魏	aw	5	5
安信	ax	1	1
爱信	ax	2	2
安心	ax	3	3
俺先	ax	4	4
爱心	ax	5	5
安行	ax	6	6
熬夜	ay	1	1
哎呀	ay	2	2
暗涌	ay	3	3
阿依	ay	4	4
安源	ay	5	5
案子	az	1	1
爱在	az	2	2
俺在	az	3	3
比尔	be	1	1
布尔	be	2	2
八二	be	3	3
拜耳	be	4	4
拜尔	be	5	5
报录	bl	1	1
办理	bl	2	2
兵力	bl	3	3
宝路	bl	4	4
保利	bl	5	5
比利	bl	6	6
保禄	bl	7	7
编曲	bq	1	1
步枪	bq	2	2
比起	bq	3	3
俾钱	bq	4	4
板前	bq	5	5
比如	br	1	1
本人	br	2	2
百人	br	3	3
不入	br	4	4
博仁	br	5	5
薄如	br	6	6
比赛	bs	1	1
鼻塞	bs	2	2
北宋	bs	3	3
步速	bs	4	4
不三	bs	5	5
包送	bs	6	6
不四	bs	7	7
不同	bt	1	1
把他	bt	2	2
把她	bt	3	3
坝头	bt	4	4
北堂	bt	5	5
冰天	bt	6	6
本质	bv	1	1
不止	bv	2	2
不值	bv	3	3
不只	bv	4	4
傍着	bv	5	5
八爪	bv	6	6
不彰	bv	7	7
不小	bx	1	1
不像	bx	2	2
不详	bx	3	3
变形	bx	4	4
把心	bx	5	5
