# XHUP Flow two-key zero-regression word shortcuts.
# Source universe: data/words/wanxiang_base_words.tsv
# Existing production words excluded: word_zero_regression.tsv + word_fixed_first.tsv
# Selection: EMPTY 2-key exact codes only (char fanout == 0) / balanced / normalized 50:50 conservative
# candidate grammar: monotone-suffix-initials-v2
# Per-code winner stability >= 4/5 over 30 sensitivity runs (integer cross-multiply)
# policy: two-key-zero-regression-v1
暗部	anbu	ab	II
艾草	aicc	ac	II
安迪	andi	ad	II
阿尔	aaer	ae	II
阿福	aafu	af	II
熬过	aogo	ag	II
安检	anjm	aj	II
奥克	aoke	ak	II
暗恋	anlm	al	II
挨骂	aima	am	II
啊呸	aapw	ap	II
按其	anqi	aq	II
爱人	airf	ar	II
盎司	ahsi	as	II
爱她	aita	at	II
哀伤	aiuh	au	II
按着	anve	av	II
暗卫	anww	aw	II
爱心	aixb	ax	II
哎呀	aiya	ay	II
俺在	anzd	az	II
拜耳	bder	be	II
办理	bjli	bl	II
比起	biqi	bq	II
本人	bfrf	br	II
比赛	bisd	bs	II
把他	bata	bt	II
本质	bfvi	bv	II
变形	bmxk	bx	II
抱怨	bcyr	by	II
不在	buzd	bz	II
才被	cdbw	cb	II
此刻	cike	ck	II
彩礼	cdli	cl	II
村民	cymb	cm	II
采纳	cdna	cn	II
磁盘	cipj	cp	II
粗浅	cuqm	cq	II
草图	cctu	ct	II
此外	ciwd	cw	II
促销	cuxn	cx	II
都不	dzbu	db	II
带来	ddld	dl	II
对他	dvta	dt	II
而不	erbu	eb	II
耳侧	erce	ec	II
饿的	eede	ed	II
二分	erff	ef	II
二更	ergg	eg	II
二货	erho	eh	II
二处	eriu	ei	II
耳机	erji	ej	II
二轮	erly	el	II
耳闷	ermf	em	II
二胖	erph	ep	II
二期	erqi	eq	II
恶俗	eesu	es	II
二塔	erta	et	II
二手	eruz	eu	II
而战	ervj	ev	II
二维	erww	ew	II
二线	erxm	ex	II
恶意	eeyi	ey	II
而在	erzd	ez	II
分布	ffbu	fb	II
方才	fhcd	fc	II
放大	fhda	fd	II
凡尔	fjer	fe	II
翻唱	fjih	fi	II
风控	fgks	fk	II
分离	ffli	fl	II
封面	fgmm	fm	II
烦恼	fjnc	fn	II
翻盘	fjpj	fp	II
发起	faqi	fq	II
否认	fzrf	fr	II
发送	fass	fs	II
访谈	fhtj	ft	II
防止	fhvi	fv	II
复习	fuxi	fx	II
翻译	fjyi	fy	II
公布	gsbu	gb	II
构成	gzig	gi	II
国民	gomb	gm	II
高能	gcng	gn	II
个屁	gepi	gp	II
光圈	glqr	gq	II
共同	gsts	gt	II
汇报	hvbc	hb	II
好处	hciu	hi	II
画面	hxmm	hm	II
海南	hdnj	hn	II
活泼	hopo	hp	II
换取	hrqu	hq	II
好听	hctk	ht	II
崇拜	isbd	ib	II
出面	iumm	im	II
成年	ignm	in	II
诚品	igpb	ip	II
除去	iuqu	iq	II
吃透	iitz	it	II
宠物	iswu	iw	II
煎熬	jmao	ja	II
决策	jtce	jc	II
记得	jide	jd	II
进而	jber	je	II
加分	jxff	jf	II
经过	jkgo	jg	II
机会	jihv	jh	II
结局	jpju	jj	II
解耦	jpou	jo	II
机制	jivi	jv	II
结尾	jpww	jw	II
镜子	jkzi	jz	II
恐怖	ksbu	kb	II
看成	kjig	ki	II
快慢	kkmj	km	II
困难	kynj	kn	II
可怕	kepa	kp	II
亏钱	kvqm	kq	II
可他	keta	kt	II
立法	lifa	lf	II
没了	mwle	ml	II
名人	mkrf	mr	II
民宿	mbsu	ms	II
命题	mkti	mt	II
某种	mzvs	mv	II
梦想	mgxl	mx	II
美元	mwyr	my	II
年薪	nmxb	nx	II
你要	niyc	ny	II
欧联	oulm	ol	II
欧债	ouvd	ov	II
偶戏	ouxi	ox	II
跑路	pclu	pl	II
脾气	piqi	pq	II
仆人	purf	pr	II
菩萨	pusa	ps	II
葡萄	putc	pt	II
品质	pbvi	pv	II
剖析	pzxi	px	II
培育	pwyu	py	II
情爱	qkai	qa	II
七彩	qicd	qc	II
起到	qidc	qd	II
妻儿	qier	qe	II
气氛	qiff	qf	II
去过	qugo	qg	II
气候	qihz	qh	II
情节	qkjp	qj	II
全欧	qrou	qo	II
求职	qqvi	qv	II
全文	qrwf	qw	II
曲子	quzi	qz	II
荣安	rsan	ra	II
让步	rhbu	rb	II
热点	redm	rd	II
瑞克	rvke	rk	II
日历	rili	rl	II
人民	rfmb	rm	II
人能	rfng	rn	II
入盘	rupj	rp	II
容器	rsqi	rq	II
人体	rfti	rt	II
任务	rfwu	rw	II
入学	ruxt	rx	II
散步	sjbu	sb	II
司考	sikc	sk	II
送了	ssle	sl	II
素描	sumn	sm	II
送你	ssni	sn	II
三片	sjpm	sp	II
送去	ssqu	sq	II
四天	sitm	st	II
三位	sjww	sw	II
私下	sixx	sx	II
同步	tsbu	tb	II
屠夫	tufu	tf	II
听力	tkli	tl	II
提起	tiqi	tq	II
统统	tsts	tt	II
体温	tiwf	tw	II
体现	tixm	tx	II
顺便	uybm	ub	II
声明	ugmk	um	II
少年	ucnm	un	II
审判	ufpj	up	II
事情	uiqk	uq	II
杀死	uasi	us	II
上图	uhtu	ut	II
这部	vebu	vb	II
致命	vimk	vm	II
职能	ving	vn	II
这篇	vepm	vp	II
准确	vyqt	vq	II
这题	veti	vt	II
之外	viwd	vw	II
外部	wdbu	wb	II
我才	wocd	wc	II
唯二	wwer	we	II
问出	wfiu	wi	II
文科	wfke	wk	II
玩了	wjle	wl	II
外貌	wdmc	wm	II
五年	wunm	wn	II
网盘	whpj	wp	II
完全	wjqr	wq	II
无人	wurf	wr	II
猥琐	wwso	ws	II
问他	wfta	wt	II
无知	wuvi	wv	II
危险	wwxm	wx	II
位于	wwyu	wy	II
屋子	wuzi	wz	II
狭隘	xxai	xa	II
先从	xmcs	xc	II
新的	xbde	xd	II
小额	xnee	xe	II
学费	xtfw	xf	II
修改	xqgd	xg	II
小孩	xnhd	xh	II
现金	xmjb	xj	II
现状	xmvl	xv	II
询问	xywf	xw	II
下载	xxzd	xz	II
用的	ysde	yd	II
一份	yiff	yf	II
有个	yzge	yg	II
用了	ysle	yl	II
一枚	yimw	ym	II
业内	yenw	yn	II
一篇	yipm	yp	II
引起	ybqi	yq	II
宇宙	yuvz	yv	II
以为	yiww	yw	II
有些	yzxp	yx	II
坐标	zobn	zb	II
最快	zvkk	zk	II
嘴里	zvli	zl	II
赞美	zjmw	zm	II
在哪	zdna	zn	II
做派	zopd	zp	II
增强	zgql	zq	II
做题	zoti	zt	II
造型	zcxk	zx	II
