一	kdconv_ge2
一一	wanxiang_base,sogou_sys_freq,kdconv_ge2
一一一	sogou_sys_freq
一一一一	wanxiang_base
一一二	wanxiang_base
一一列举	sogou_sys_freq
一一回复	wanxiang_base
一一对应	wanxiang_base,sogou_sys_freq
一一道来	sogou_sys_freq
一一风荷举	sogou_sys_freq
一丁	sogou_sys_freq
一丁不识	sogou_sys_freq
一丁半点	sogou_sys_freq
一丁点	wanxiang_base,sogou_sys_freq
一丁点儿	sogou_sys_freq
一七	sogou_sys_freq
一七五	sogou_sys_freq
一万	wanxiang_base,sogou_sys_freq,kdconv_ge2
一万一	wanxiang_base,sogou_sys_freq
一万七	wanxiang_base,sogou_sys_freq
一万三	wanxiang_base,sogou_sys_freq
一万个	wanxiang_base,sogou_sys_freq
一万个理由	sogou_sys_freq
一万个舍不得	sogou_sys_freq
一万二	sogou_sys_freq
一万五	wanxiang_base,sogou_sys_freq
一万亿	sogou_sys_freq
一万倍	wanxiang_base,sogou_sys_freq
一万元	wanxiang_base,sogou_sys_freq
一万八	sogou_sys_freq
一万六	wanxiang_base,sogou_sys_freq
一万句	sogou_sys_freq
一万号	sogou_sys_freq
一万四	sogou_sys_freq
一万块	wanxiang_base,sogou_sys_freq
一万块钱	wanxiang_base,sogou_sys_freq
一万多	wanxiang_base,sogou_sys_freq
一万字	sogou_sys_freq
一万小时	sogou_sys_freq
一万年	wanxiang_base,sogou_sys_freq
一万年前	sogou_sys_freq
一万年太久	sogou_sys_freq
一万次	sogou_sys_freq
一万次悲伤	sogou_sys_freq
一万步	sogou_sys_freq
一万点	sogou_sys_freq
一万的	sogou_sys_freq
一万种	sogou_sys_freq
一万米	wanxiang_base,sogou_sys_freq
一万血	sogou_sys_freq,sogou_sys_freq
一万遍	sogou_sys_freq
一丈	sogou_sys_freq
一丈红	sogou_sys_freq
一丈青	sogou_sys_freq
一三	sogou_sys_freq
一三五	sogou_sys_freq
一三八	sogou_sys_freq
一三四	wanxiang_base
一上	wanxiang_base,sogou_sys_freq,kdconv_ge2
一上一下	sogou_sys_freq
一上午	wanxiang_base,sogou_sys_freq,kdconv_ge2
一上去	sogou_sys_freq
一上来	wanxiang_base,sogou_sys_freq
一上来就	wanxiang_base,sogou_sys_freq
一上班	sogou_sys_freq
一上线	sogou_sys_freq
一上课	sogou_sys_freq
一下	wanxiang_base,sogou_sys_freq,kdconv_ge2
一下下	wanxiang_base,sogou_sys_freq
一下不	sogou_sys_freq
一下么	sogou_sys_freq
一下了	wanxiang_base,sogou_sys_freq,kdconv_ge2
一下他	wanxiang_base,kdconv_ge2
一下你	wanxiang_base,sogou_sys_freq
一下儿	sogou_sys_freq
一下午	wanxiang_base,sogou_sys_freq
一下去	wanxiang_base,sogou_sys_freq
一下后	wanxiang_base
一下吗	wanxiang_base,sogou_sys_freq,kdconv_ge2
一下吧	wanxiang_base,sogou_sys_freq,kdconv_ge2
一下呗	sogou_sys_freq,sogou_sys_freq
一下呢	sogou_sys_freq
一下哈	wanxiang_base,sogou_sys_freq
一下哦	sogou_sys_freq,sogou_sys_freq
一下啊	sogou_sys_freq
一下嘛	sogou_sys_freq
一下子	wanxiang_base,sogou_sys_freq,kdconv_ge2
一下子就	wanxiang_base,sogou_sys_freq
一下就	wanxiang_base,sogou_sys_freq,kdconv_ge2
一下就行	sogou_sys_freq
一下我	sogou_sys_freq
一下我们	wanxiang_base
一下手	wanxiang_base
一下来	sogou_sys_freq
一下班	sogou_sys_freq
一下的	sogou_sys_freq
一下自己	sogou_sys_freq
一下试试	sogou_sys_freq
一下课	sogou_sys_freq
一下账	sogou_sys_freq
一下车	sogou_sys_freq
一下这些	wanxiang_base
一下雨	sogou_sys_freq
一不	sogou_sys_freq
一不一样	sogou_sys_freq
一不一致	sogou_sys_freq
一不做	wanxiang_base,sogou_sys_freq
一不做二不休	sogou_sys_freq
