# XHUP Flow 规范高频词语数据:万象 / RIME-LMDG 基础词库的规范子集
# source_repo: amzxyz/rime-wanxiang
# source_commit: 4618d67a978ff4f41b165c10b35558d38e333ab1
# source_path: dicts/jichu.dict.yaml
# source_blob_sha: a0f66e2fc6130f3f1c9b2e5109644c8b893477b0
# source_license: CC-BY-4.0
# semantic_source: amzxyz/RIME-LMDG
# normalization: 与字频数据一致(去声调五组;ü 族→v;ńňǹ→n;ḿ→m;
#   归一化后仍含非 a-z 字符的源读音视为坏行忽略)
# aggregation: 归一化后落到同一 (词, 规范读音序列) 的全部源行分数按 u64 校验和聚合
# match_policy: 每字属于规范 8105 清单、对应读音是该字规范读音且可编码为
#   XHUP 输入音节;不发明新读音
# collision_policy: 二字词按 semantic entry(词 + 读音序列)推导 4 键码,
#   与规范单字全码集冲突的 semantic entry 被排除;同词形的不冲突读音序列保留
# selection: 各词长独立按 (分数降序, 词 Unicode 升序, 读音序列升序) 取
#   前 50000 / 30000 / 20000 条;合法候选不足目标即失败,不静默缩水
# serialization: 词长升序 → 词 Unicode 升序 → 读音序列升序
# rows: 100000
一一	yi yi	17744
一万	yi wan	9825
一上	yi shang	1080
一下	yi xia	501621
一世	yi shi	2552
一丝	yi si	8452
一两	yi liang	15232
一个	yi ge	1967810
一中	yi zhong	2449
一举	yi ju	4860
一乐	yi le	1187
一九	yi jiu	3789
一书	yi shu	5476
一买	yi mai	867
一事	yi shi	3727
一些	yi xie	890576
一人	yi ren	31042
一亿	yi yi	769
一代	yi dai	9460
一份	yi fen	82786
一休	yi xiu	1007
一众	yi zhong	12114
一伙	yi huo	2989
一会	yi hui	18746
一位	yi wei	89813
一体	yi ti	10751
一例	yi li	1196
一侧	yi ce	9125
一倍	yi bei	5353
一元	yi yuan	37039
一充	yi chong	781
一克	yi ke	3196
一共	yi gong	41181
一关	yi guan	747
一具	yi ju	1246
一写	yi xie	1130
一冲	yi chong	1005
一刀	yi dao	3589
一分	yi fen	10201
一切	yi qie	119653
一列	yi lie	2214
一则	yi ze	5272
一到	yi dao	23374
一刻	yi ke	27324
一副	yi fu	24561
一勺	yi shao	2286
一包	yi bao	4750
一匹	yi pi	2703
一千	yi qian	5815
一升	yi sheng	20410
一半	yi ban	35551
一卷	yi juan	2876
一去	yi qu	3476
一参	yi can	1048
一发	yi fa	879
一口	yi kou	17254
一句	yi ju	69752
一只	yi zhi	43812
一台	yi tai	34904
一号	yi hao	5636
一吃	yi chi	1046
一听	yi ting	9618
一员	yi yuan	2612
一周	yi zhou	44004
一味	yi wei	5425
一品	yi pin	983
一哥	yi ge	2373
一嘴	yi zui	1752
一四	yi si	2273
一团	yi tuan	4767
一国	yi guo	2144
一圈	yi quan	13414
一地	yi di	1598
一场	yi chang	57575
一坐	yi zuo	1196
