# XHUP Flow 官网权威字形数据:小鹤音形官网查形数据集(ixdata.json)确定性快照
# source: https://www.flypy.cc/ix/ (官方查形页;数据集随页面 ixdata.json 分发)
# source_payload_sha256: 5f0b7856df992efac8e5ec014cd9dbdf698131b49d4adec19c01a85a07aa0b42
# source_note: 官网未声明数据许可;所有者决策作为权威参照层入库(见 NOTICE.md 与 docs/data-pipeline.md)
# page_marker_semantics: 音码/形码后缀 `-`=出简让全(次读音); `*`=生僻音/替代码; `+`=表外字(多为方言字);与 official_char_code_oracle.tsv 语义一致
# columns: 字 TAB 全码 TAB 二级拆分 TAB 三级拆分 TAB 读音
#   全码 = 每读音一个 sound2+shape2 码, 空格分隔;标记保真保留,消费方按需剥离
#   读音 = 官网「拼音」原文(带声调, 空格分隔多读音);与 data/hanzi/readings.tsv 正交
# serialization: 字 Unicode 码点升序
# rows: 8414
〇	lkvv+	乛 乛	乛	líng
㑇	vzre	亻 彐	亻 ⺈ 彐	zhòu
㑊	yird	亻 丶	亻 亠 丿 丨 丿 丶	yì
㑎	ncre+	亻 山	亻 乛 乛 乛 山	nǎo
㒼	mjnr+	廿 入	廿 巾 入 入	mán
㓥	thxd+	⺌ 刂	⺌ 彐 刂	tāng
㕮	fukx*	口 乂	口 八 乂	fǔ
㗎	gakm+	囗 木	口 力 口 木	gá gǎ gà
㘎	hjkw	口 攵	口 门 乛 耳 攵	hǎn
㙍	doty	土 又	土 又 又 又 又	duō
㙘	yctn*	土 女	土 西 女	yāo
㙦	xprt	人 土	人 余下 丶 丶 十 土	xié
㛃	jpfn	丰 女	丰 刀 女	jié
㛚	tsny-	女 用	女 龴 用	tǒng
㛹	pmng	女 更	女 亻 更	pián
㝵	deoc+	日 寸	日 一 寸	dé
㞎	baub+	尸 巴	尸 巴	bǎ
㞗	qquq+	尸 求	尸 求	qiú
㞞	ssur+	尸 人	尸 人 人 彳 丨 一 人	sóng
㟃	siek	山 口	山 乛 一 口	sī
㠇	jqey	山 尤	山 亠 口 小 尤	jiù
㠓	mgen	山 ㄟ	山 艹 冖 二 丿 乛 丿 丿 丿 ㄟ	méng
㤘	vzxe-	忄 彐	忄 ⺈ 彐	zhòu
㥄	lkxw	忄 夂	忄 土 八 夂	líng
㧐	ssfy	扌 又	扌 又 又	sǒng
㧑	wwfw	扌 为	扌 为	wéi
㧟	kkfk	扌 匚	扌 氵 匚	kuǎi
㧾	hufx+	扌 心	扌 勿 心	hū
㨃	dvfz+	扌 子	扌 亠 口 子	duǐ
㨄	vzfk+	扌 口	扌 冂 土 口	zhōu
㨤	kkff+	扌 龶	扌 匚 亻 亠 龶	kuǎi
㫰	lhol	日 良	日 良	lǎng
㬊	hroy	日 又	日 丿 ⺍ 一 𠂇 又	huǎn
㬎	xmoh	日 灬	日 幺 幺 灬	xiǎn
㬚	ieow	日 攵	日 亠 厶 月 攵	chè
㭎	ghmx	木 乂	木 冂 乂	gāng
